Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
BRCA_TCGA-AC-A2B8	6	1	6	0	5	0	2	0	11	11	86	0
BRCA_TCGA-AC-A2BK	12	0	4	15	0	2	6	9	10	49	3	0
BRCA_TCGA-AC-A2BM	3	0	1	2	4	0	0	0	1	8	2	5
BRCA_TCGA-AC-A2FB	1	0	0	1	0	0	3	1	6	1	4	0
BRCA_TCGA-AC-A2FF	0	0	0	0	0	1	0	0	3	1	6	0
BRCA_TCGA-AC-A2FG	7	0	3	0	5	0	3	0	3	8	9	1
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	1	1	1	0
BRCA_TCGA-AC-A2FO	0	2	3	0	0	0	0	0	6	5	11	0
BRCA_TCGA-AC-A2QH	8	1	0	3	4	2	0	0	0	5	4	0
BRCA_TCGA-AC-A3HN	3	0	1	4	0	0	3	0	1	5	3	2
BRCA_TCGA-AC-A3OD	1	3	6	6	1	4	0	0	10	2	6	0
BRCA_TCGA-AC-A3QP	2	0	4	0	1	0	2	6	1	19	0	0
BRCA_TCGA-AC-A3QQ	4	2	0	6	0	0	0	0	14	7	1	2
BRCA_TCGA-AC-A3W5	2	1	7	16	7	0	0	4	25	77	65	7
BRCA_TCGA-AC-A3YI	1	0	3	3	0	0	1	2	2	6	0	0
BRCA_TCGA-AC-A3YJ	6	2	0	4	0	0	3	1	16	2	4	0
BRCA_TCGA-AC-A4ZE	7	0	3	7	5	0	2	9	6	26	9	0
BRCA_TCGA-AC-A5EH	6	8	5	4	13	3	5	19	24	85	27	6
BRCA_TCGA-AC-A5EI	7	0	3	0	0	0	4	2	8	7	12	0
BRCA_TCGA-AC-A5XS	0	16	63	5	0	2	0	0	62	13	554	0
BRCA_TCGA-AC-A5XU	24	1	2	12	0	4	4	0	19	28	19	0
BRCA_TCGA-AC-A62V	17	7	3	24	0	0	0	2	20	24	9	0
BRCA_TCGA-AC-A62X	31	7	0	6	0	3	5	1	13	15	4	2
BRCA_TCGA-AC-A62Y	14	0	1	0	6	3	5	4	4	17	32	3
BRCA_TCGA-AC-A6IV	3	0	5	0	4	0	0	2	5	8	0	0
BRCA_TCGA-AC-A6IW	11	0	4	16	0	0	0	15	34	53	93	5
BRCA_TCGA-AC-A6IX	4	0	1	6	0	0	4	6	18	1	31	0
BRCA_TCGA-AC-A6NO	9	0	1	1	5	0	5	1	5	13	3	0
BRCA_TCGA-AC-A7VB	7	0	0	6	1	0	0	6	8	7	0	0
BRCA_TCGA-AC-A7VC	6	0	3	1	3	0	2	0	3	8	0	0
BRCA_TCGA-AC-A8OP	32	8	14	7	20	23	11	10	17	71	28	3
BRCA_TCGA-AC-A8OQ	19	1	11	8	2	6	7	0	17	40	20	6
BRCA_TCGA-AC-A8OR	2	0	0	7	0	3	0	1	7	11	0	1
BRCA_TCGA-AC-A8OS	8	0	1	0	2	0	6	7	16	16	18	5
BRCA_TCGA-AN-A0XL	5	3	2	0	0	4	3	4	11	8	0	0
BRCA_TCGA-AN-A0XN	6	5	4	6	12	7	15	2	10	81	17	10
BRCA_TCGA-AN-A0XO	1	0	7	3	0	0	6	3	3	9	11	0
BRCA_TCGA-AN-A0XP	4	1	0	2	0	1	9	0	2	5	8	2
BRCA_TCGA-AN-A0XR	4	0	0	0	4	0	0	0	9	15	6	0
BRCA_TCGA-AN-A0XS	3	0	3	2	5	0	0	0	3	9	6	1
BRCA_TCGA-AN-A0XT	7	0	0	0	2	1	1	0	8	3	0	0
BRCA_TCGA-AN-A0XU	8	11	3	0	10	2	1	11	10	62	19	0
BRCA_TCGA-AN-A0XV	4	0	4	8	0	0	4	2	3	14	5	0
BRCA_TCGA-AN-A0XW	8	4	0	0	4	2	0	0	0	0	402	3
BRCA_TCGA-AO-A03M	12	13	46	0	0	2	0	0	0	0	1077	0
BRCA_TCGA-AO-A03N	11	4	8	2	11	5	0	0	6	7	80	0
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	1	0	2	2	0
BRCA_TCGA-AO-A03V	3	3	5	2	2	0	2	0	18	16	18	3
BRCA_TCGA-AO-A0JG	0	3	0	0	1	2	2	0	2	7	2	2
BRCA_TCGA-AO-A124	7	8	6	6	9	0	1	14	21	91	10	5
BRCA_TCGA-AO-A125	10	1	4	0	5	3	0	2	8	8	4	0
BRCA_TCGA-AO-A126	5	0	3	0	1	0	0	2	0	10	4	0
BRCA_TCGA-AO-A128	312	0	8	90	165	64	162	376	0	0	28	5
BRCA_TCGA-AO-A129	11	1	0	0	6	12	8	8	3	52	36	7
BRCA_TCGA-AO-A12A	5	0	0	2	0	0	0	1	3	2	6	0
BRCA_TCGA-AO-A12B	8	0	0	0	0	2	1	3	0	8	1	0
BRCA_TCGA-AO-A12D	4	0	11	0	0	0	0	0	20	8	30	0
BRCA_TCGA-AO-A12E	7	0	2	4	0	0	0	1	6	11	2	0
BRCA_TCGA-AO-A12F	7	2	2	11	0	0	0	5	3	10	0	0
BRCA_TCGA-AO-A12G	10	0	0	0	4	0	7	0	5	8	8	0
BRCA_TCGA-AO-A12H	7	0	2	0	3	0	3	0	5	10	0	0
BRCA_TCGA-AO-A1KO	0	0	1	0	2	0	1	1	0	5	0	0
BRCA_TCGA-AO-A1KR	8	1	3	0	8	0	3	8	5	40	13	0
BRCA_TCGA-AO-A1KT	10	0	3	0	3	1	11	3	2	15	3	0
BRCA_TCGA-AQ-A04H	29	3	2	4	5	0	8	0	4	18	6	2
BRCA_TCGA-AQ-A0Y5	17	0	6	2	0	1	3	2	1	16	21	1
BRCA_TCGA-AQ-A1H2	9	0	3	1	4	0	2	0	0	10	2	3
BRCA_TCGA-AQ-A1H3	15	0	0	0	0	0	2	0	5	3	0	2
BRCA_TCGA-AQ-A54O	5	1	0	0	4	0	0	1	2	6	4	2
BRCA_TCGA-AQ-A7U7	5	0	8	5	6	0	0	1	0	7	61	3
BRCA_TCGA-AR-A0TP	2	0	1	0	7	2	5	6	4	34	8	2
BRCA_TCGA-AR-A0TQ	4	2	2	2	4	0	0	0	11	10	13	1
BRCA_TCGA-AR-A0TR	7	0	3	1	6	0	4	6	11	2	2	0
BRCA_TCGA-AR-A0TS	6	0	0	5	0	7	0	6	17	33	13	3
BRCA_TCGA-AR-A0TT	5	0	5	9	0	0	7	1	17	15	14	2
BRCA_TCGA-AR-A0TU	7	6	0	5	2	6	4	0	4	41	13	2
BRCA_TCGA-AR-A0TV	14	2	0	0	8	0	6	0	19	24	6	0
BRCA_TCGA-AR-A0TW	16	5	3	0	9	2	2	0	0	25	5	0
BRCA_TCGA-AR-A0TX	8	0	34	0	6	0	2	0	0	6	351	0
BRCA_TCGA-AR-A0TZ	9	5	9	2	5	0	0	2	0	11	24	0
BRCA_TCGA-AR-A0U0	2	4	2	2	4	0	0	0	9	16	9	2
BRCA_TCGA-AR-A0U1	2	3	1	2	0	3	11	12	5	54	14	2
BRCA_TCGA-AR-A0U2	7	0	2	13	2	3	0	2	7	20	0	0
BRCA_TCGA-AR-A0U3	2	3	4	9	1	2	0	0	8	11	0	0
BRCA_TCGA-AR-A0U4	4	11	3	4	8	1	5	4	13	85	59	4
BRCA_TCGA-AR-A1AH	6	9	1	10	4	8	15	0	0	53	10	4
BRCA_TCGA-AR-A1AI	6	1	9	6	7	1	5	0	17	19	18	0
BRCA_TCGA-AR-A1AJ	12	0	3	0	4	0	3	1	2	1	27	0
BRCA_TCGA-AR-A1AK	8	2	6	2	0	0	2	2	10	16	34	0
BRCA_TCGA-AR-A1AL	3	0	1	2	0	0	1	8	4	4	7	0
BRCA_TCGA-AR-A1AN	11	0	1	1	2	0	2	0	0	9	5	0
BRCA_TCGA-AR-A1AO	6	1	8	4	1	4	4	1	9	50	28	6
BRCA_TCGA-AR-A1AP	11	2	4	5	0	0	3	0	9	6	10	1
BRCA_TCGA-AR-A1AQ	7	0	0	1	9	0	0	6	5	9	4	0
BRCA_TCGA-AR-A1AR	5	3	0	7	0	1	0	1	9	24	8	5
BRCA_TCGA-AR-A1AS	0	2	4	8	3	0	0	0	3	7	14	0
BRCA_TCGA-AR-A1AT	4	0	1	2	2	0	0	7	6	8	2	0
BRCA_TCGA-AR-A1AU	6	0	0	2	0	0	2	1	4	8	2	1
BRCA_TCGA-AR-A1AV	8	2	3	8	0	0	0	5	6	12	5	0
BRCA_TCGA-AR-A1AW	3	2	0	5	2	0	2	8	10	7	2	0
BRCA_TCGA-AR-A1AX	1	0	6	3	0	0	0	1	9	11	1	0
BRCA_TCGA-AR-A1AY	12	2	2	0	7	0	0	8	12	16	13	0
BRCA_TCGA-AR-A24H	6	11	0	2	9	1	4	2	21	68	28	0
BRCA_TCGA-AR-A24K	3	0	2	0	5	3	4	0	4	13	0	0
BRCA_TCGA-AR-A24L	0	0	0	4	1	0	4	0	6	29	7	2
BRCA_TCGA-AR-A24M	3	0	0	2	1	3	0	7	0	7	2	0
BRCA_TCGA-AR-A24N	10	0	0	2	4	1	4	0	13	6	6	1
BRCA_TCGA-AR-A24O	4	2	0	0	3	0	1	0	7	4	0	1
BRCA_TCGA-AR-A24P	2	0	4	2	0	1	1	0	3	6	0	0
BRCA_TCGA-AR-A24Q	0	7	4	9	24	5	7	4	20	105	43	4
BRCA_TCGA-AR-A24R	6	0	0	2	0	1	0	10	6	0	1	0
BRCA_TCGA-AR-A24S	11	1	1	1	0	4	11	0	10	7	10	1
BRCA_TCGA-AR-A24T	7	0	1	0	0	0	0	2	3	9	2	0
BRCA_TCGA-AR-A24U	4	0	3	4	0	1	0	0	5	7	20	0
BRCA_TCGA-AR-A24V	7	0	4	2	0	0	0	4	0	6	5	0
BRCA_TCGA-AR-A24W	0	0	1	1	3	0	0	0	4	5	0	0
BRCA_TCGA-AR-A24X	5	0	5	3	0	0	1	3	1	15	0	1
BRCA_TCGA-AR-A24Z	9	0	1	0	7	0	0	1	4	28	6	0
BRCA_TCGA-AR-A250	24	3	12	4	5	5	1	1	9	27	64	0
BRCA_TCGA-AR-A251	0	4	0	7	0	10	4	17	24	100	36	3
BRCA_TCGA-AR-A252	4	0	0	1	0	0	2	4	8	0	0	0
BRCA_TCGA-AR-A254	9	2	4	1	1	0	0	0	7	13	5	0
BRCA_TCGA-AR-A255	8	8	6	0	7	0	3	3	3	20	31	0
BRCA_TCGA-AR-A256	0	5	7	9	6	3	5	11	30	109	31	8
BRCA_TCGA-AR-A2LE	0	13	38	5	0	0	0	0	48	0	290	0
BRCA_TCGA-AR-A2LH	0	0	8	5	0	4	1	0	12	0	41	0
BRCA_TCGA-AR-A2LK	11	0	1	2	0	6	3	1	11	9	4	0
BRCA_TCGA-AR-A2LL	11	3	1	0	0	0	1	0	12	9	0	0
BRCA_TCGA-AR-A2LM	0	0	3	0	0	0	0	3	1	10	0	0
BRCA_TCGA-AR-A2LN	0	0	7	3	0	2	4	0	19	0	19	0
BRCA_TCGA-AR-A2LO	3	0	1	0	0	0	0	0	0	8	3	2
BRCA_TCGA-AR-A2LQ	3	0	0	0	0	0	0	3	4	3	0	0
BRCA_TCGA-AR-A2LR	3	2	3	9	0	1	0	4	14	33	1	0
BRCA_TCGA-AR-A5QM	6	0	2	1	0	4	0	4	6	13	0	0
BRCA_TCGA-AR-A5QN	7	0	4	8	1	0	4	2	16	3	4	0
BRCA_TCGA-AR-A5QP	6	2	2	0	2	0	6	0	8	5	3	0
BRCA_TCGA-AR-A5QQ	6	1	0	1	9	0	13	5	13	32	11	5
BRCA_TCGA-B6-A0I1	16	0	4	0	3	0	4	0	8	39	6	0
BRCA_TCGA-B6-A0IH	3	0	4	13	0	1	2	0	9	8	1	0
BRCA_TCGA-B6-A0RH	6	0	2	0	4	0	3	0	6	8	15	1
BRCA_TCGA-B6-A0RL	13	1	3	1	11	0	2	0	13	7	16	2
BRCA_TCGA-B6-A0RM	9	0	1	2	4	0	4	0	4	6	6	0
BRCA_TCGA-B6-A0RN	12	0	1	0	6	1	3	0	0	7	2	1
BRCA_TCGA-B6-A0RO	0	0	7	1	8	0	0	5	9	9	3	1
BRCA_TCGA-B6-A0RP	0	0	0	5	0	0	0	3	13	9	0	0
BRCA_TCGA-B6-A0RQ	1	1	4	4	0	0	2	5	16	6	15	2
BRCA_TCGA-B6-A0RT	4	1	1	2	0	4	2	7	2	30	19	0
BRCA_TCGA-B6-A0RU	4	1	7	5	0	2	3	7	3	18	6	2
BRCA_TCGA-B6-A0RV	8	3	2	0	0	0	2	0	0	0	52	0
BRCA_TCGA-B6-A0WS	1	2	0	1	0	0	2	8	1	0	3	0
BRCA_TCGA-B6-A0WT	5	2	3	0	0	0	0	9	2	0	1	0
BRCA_TCGA-B6-A0WV	2	0	0	2	5	0	3	0	9	9	4	3
BRCA_TCGA-B6-A0WW	7	2	3	0	0	0	3	8	5	10	9	0
BRCA_TCGA-B6-A0WX	10	2	3	0	4	0	6	1	0	18	1	0
BRCA_TCGA-B6-A0WY	3	0	4	6	2	2	3	0	0	8	7	0
BRCA_TCGA-B6-A0WZ	0	1	7	4	1	0	0	0	13	0	69	0
BRCA_TCGA-B6-A0X0	3	2	2	0	0	0	0	2	4	10	2	0
BRCA_TCGA-B6-A0X1	0	1	7	2	7	0	8	7	17	25	18	0
BRCA_TCGA-B6-A0X4	2	3	6	0	0	0	0	0	7	4	0	0
BRCA_TCGA-B6-A0X5	1	8	10	2	2	0	4	4	0	12	5	0
BRCA_TCGA-B6-A0X7	5	0	2	0	3	0	0	0	4	4	5	0
BRCA_TCGA-B6-A1KN	3	6	0	5	3	4	2	3	18	24	4	0
BRCA_TCGA-B6-A2IU	2	0	10	9	0	0	2	5	13	0	13	0
BRCA_TCGA-B6-A401	2	0	2	6	2	0	0	0	6	9	0	1
BRCA_TCGA-B6-A409	9	0	3	2	0	1	1	5	12	15	6	2
BRCA_TCGA-B6-A40B	0	1	0	7	0	0	0	5	23	13	17	0
BRCA_TCGA-B6-A40C	16	3	0	0	2	0	3	0	10	15	5	0
BRCA_TCGA-BH-A0AU	5	0	0	1	3	2	0	0	0	8	3	1
BRCA_TCGA-BH-A0AV	0	2	2	4	5	0	4	10	17	28	14	1
BRCA_TCGA-BH-A0AY	7	2	6	0	2	1	1	0	6	15	6	0
BRCA_TCGA-BH-A0AZ	1	2	0	0	6	0	0	7	5	24	21	4
BRCA_TCGA-BH-A0B0	0	1	16	7	0	0	0	0	7	0	67	1
BRCA_TCGA-BH-A0B3	4	1	1	1	0	2	0	0	0	6	3	0
BRCA_TCGA-BH-A0B6	0	17	89	14	1	0	0	0	103	0	1063	3
BRCA_TCGA-BH-A0B7	5	0	6	4	0	0	0	0	8	6	9	4
BRCA_TCGA-BH-A0B8	0	2	1	2	5	0	0	0	10	10	4	0
BRCA_TCGA-BH-A0BA	4	0	1	2	3	0	0	4	0	6	9	0
BRCA_TCGA-BH-A0BC	7	0	3	4	0	0	0	3	7	10	11	0
BRCA_TCGA-BH-A0BF	5	0	2	1	3	0	0	5	1	9	7	0
BRCA_TCGA-BH-A0BG	2	0	0	4	0	2	1	3	4	21	8	0
BRCA_TCGA-BH-A0BJ	1	0	1	1	1	1	1	0	2	9	0	0
BRCA_TCGA-BH-A0BL	10	4	3	1	0	1	2	2	3	40	2	1
BRCA_TCGA-BH-A0BM	0	2	0	1	0	0	0	1	7	5	3	0
BRCA_TCGA-BH-A0BO	5	0	2	0	5	0	0	14	1	0	4	0
BRCA_TCGA-BH-A0BP	17	5	16	7	8	2	0	0	32	60	49	0
BRCA_TCGA-BH-A0BQ	6	2	2	1	4	0	0	0	4	9	2	0
BRCA_TCGA-BH-A0BS	1	0	0	1	0	0	1	4	10	6	0	0
BRCA_TCGA-BH-A0BT	4	1	4	8	0	0	0	6	12	8	5	0
BRCA_TCGA-BH-A0BV	0	0	1	2	0	0	0	1	14	2	4	0
BRCA_TCGA-BH-A0BW	9	0	2	1	13	1	6	8	4	39	16	4
BRCA_TCGA-BH-A0BZ	0	17	1	22	14	0	10	10	32	144	41	5
BRCA_TCGA-BH-A0C0	3	0	2	1	3	7	1	8	0	18	5	0
BRCA_TCGA-BH-A0C1	6	0	1	9	10	0	0	0	7	8	7	2
BRCA_TCGA-BH-A0C3	3	0	1	0	0	1	4	0	2	6	0	1
BRCA_TCGA-BH-A0C7	14	0	2	0	7	3	4	1	2	21	4	0
BRCA_TCGA-BH-A0DD	8	0	3	6	0	0	3	0	5	6	6	0
BRCA_TCGA-BH-A0DE	0	1	1	0	0	1	4	0	16	9	1	0
BRCA_TCGA-BH-A0DG	1	1	8	0	7	1	2	0	3	9	13	2
BRCA_TCGA-BH-A0DH	12	0	3	1	8	0	0	3	7	1	15	2
BRCA_TCGA-BH-A0DI	8	0	0	4	0	2	1	1	2	19	25	0
BRCA_TCGA-BH-A0DK	7	4	0	0	0	0	7	1	5	22	7	0
BRCA_TCGA-BH-A0DL	11	1	2	8	1	0	2	5	3	8	20	4
BRCA_TCGA-BH-A0DO	1	0	4	5	2	0	0	1	3	8	6	0
BRCA_TCGA-BH-A0DP	0	0	1	0	0	0	1	2	7	5	3	0
BRCA_TCGA-BH-A0DQ	6	0	0	2	1	1	6	0	11	7	1	0
BRCA_TCGA-BH-A0DT	4	0	0	0	3	0	0	0	3	2	3	0
BRCA_TCGA-BH-A0DV	0	0	0	0	1	0	2	0	4	4	3	1
BRCA_TCGA-BH-A0DX	9	1	4	0	0	0	1	0	2	18	42	0
BRCA_TCGA-BH-A0DZ	4	4	16	0	0	2	0	3	0	4	184	0
BRCA_TCGA-BH-A0E0	8	0	2	0	0	2	0	0	5	2	2	3
BRCA_TCGA-BH-A0E1	5	0	3	0	1	0	1	0	0	2	6	1
BRCA_TCGA-BH-A0E9	9	0	0	3	2	2	0	2	5	4	1	0
BRCA_TCGA-BH-A0EA	1	0	3	5	4	0	1	0	6	9	3	0
