Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
EXO1_0_multinomial_train1.15	2.06E-03	1.49E-25	3.13E-03	1.17E-03	3.76E-134	1.72E-03	1.27E-03
RNF168_0_multinomial_train1.21	4.74E-03	0.00E+00	8.11E-03	1.18E-02	8.04E-03	9.84E-03	2.83E-03
RNF168_0_multinomial_train1.22	9.48E-04	3.86E-04	6.97E-03	1.07E-02	4.03E-03	1.33E-02	2.00E-03
EXO1_0_multinomial_train1.16	1.81E-03	1.30E-46	2.93E-03	0.00E+00	0.00E+00	2.51E-04	0.00E+00
EXO1_0_multinomial_train1.17	8.68E-04	2.94E-98	5.85E-03	1.85E-03	0.00E+00	3.40E-03	2.67E-04
RNF168_0_multinomial_train1.23	3.09E-03	0.00E+00	3.61E-03	7.93E-03	4.28E-03	6.92E-03	7.57E-04
EXO1_0_multinomial_train1.18	1.45E-03	3.05E-04	3.47E-03	6.56E-52	0.00E+00	2.46E-03	1.09E-03
RNF168_0_multinomial_train1.24	6.21E-03	0.00E+00	0.00E+00	8.05E-03	3.67E-03	1.39E-02	1.28E-118
RNF168_0_multinomial_train1.25	6.51E-04	0.00E+00	6.10E-78	1.03E-02	1.85E-03	8.36E-03	1.17E-03
RNF168_0_multinomial_train1.26	1.99E-03	0.00E+00	4.16E-03	1.93E-03	1.18E-28	5.25E-03	2.37E-03
RNF168_0_multinomial_train1.27	2.02E-03	0.00E+00	2.94E-03	1.64E-02	8.29E-03	9.83E-03	5.80E-03
RNF168_0_multinomial_train1.28	1.33E-03	3.20E-141	3.54E-03	5.09E-03	1.91E-03	9.01E-03	2.57E-63
EXO1_0_multinomial_train1.19	6.66E-04	3.14E-03	7.27E-03	1.57E-03	0.00E+00	3.71E-03	4.35E-04
RNF168_0_multinomial_train1.29	1.02E-03	2.12E-146	5.15E-03	4.44E-03	9.03E-131	7.54E-03	0.00E+00
EXO1_0_multinomial_train1.20	1.25E-03	0.00E+00	3.18E-03	1.96E-03	3.43E-05	2.83E-03	2.52E-03
RNF168_0_multinomial_train1.30	1.01E-03	0.00E+00	2.38E-03	1.24E-02	8.11E-03	8.00E-03	6.43E-03
RNF168_0_multinomial_train1.31	2.16E-03	3.98E-49	4.19E-03	9.85E-03	6.50E-03	7.59E-03	2.51E-03
RNF168_0_multinomial_train1.32	4.98E-03	0.00E+00	1.12E-157	7.68E-03	2.96E-03	1.14E-02	1.30E-03
RNF168_0_multinomial_train1.33	1.20E-03	0.00E+00	5.74E-03	1.72E-02	5.59E-03	1.92E-02	2.90E-19
EXO1_0_multinomial_train1.21	1.51E-03	0.00E+00	2.22E-03	6.59E-04	0.00E+00	1.26E-04	4.88E-04
RNF168_0_multinomial_train1.34	4.93E-03	0.00E+00	0.00E+00	6.58E-03	4.27E-03	5.77E-03	8.38E-04
EXO1_0_multinomial_train1.22	1.90E-03	1.02E-03	5.40E-03	3.08E-03	1.24E-03	3.31E-03	2.58E-04
EXO1_0_multinomial_train1.23	1.41E-03	0.00E+00	3.85E-03	1.66E-03	1.09E-112	2.69E-03	9.60E-04
RNF168_0_multinomial_train1.35	1.38E-03	0.00E+00	2.72E-03	3.46E-03	3.79E-03	3.60E-03	1.29E-03
RNF168_0_multinomial_train1.36	7.34E-04	0.00E+00	9.48E-04	1.53E-02	9.25E-03	8.82E-03	5.46E-03
EXO1_0_multinomial_train1.24	6.82E-04	0.00E+00	4.14E-111	3.43E-03	1.17E-03	4.06E-03	5.10E-04
RNF168_0_multinomial_train1.37	2.18E-03	0.00E+00	2.31E-03	1.00E-02	4.98E-03	5.97E-03	2.84E-03
EXO1_0_multinomial_train1.25	2.48E-03	1.80E-03	1.82E-03	5.96E-04	9.11E-04	1.48E-03	5.30E-03
RNF168_0_multinomial_train1.38	9.99E-04	0.00E+00	0.00E+00	9.22E-03	2.11E-03	7.84E-03	1.74E-03
EXO1_0_multinomial_train1.26	1.86E-03	1.29E-04	5.18E-03	9.96E-04	0.00E+00	3.34E-03	2.43E-04
EXO1_0_multinomial_train1.27	1.13E-03	0.00E+00	8.06E-03	3.36E-03	0.00E+00	5.58E-03	0.00E+00
EXO1_0_multinomial_train1.28	1.43E-03	0.00E+00	6.61E-03	2.51E-03	0.00E+00	4.09E-03	9.24E-135
EXO1_0_multinomial_train1.29	1.09E-03	0.00E+00	4.42E-03	2.60E-03	1.56E-03	4.08E-03	1.06E-73
EXO1_0_multinomial_train1.30	7.98E-04	0.00E+00	7.29E-03	1.51E-03	0.00E+00	5.32E-03	0.00E+00
RNF168_0_multinomial_train1.39	2.48E-03	0.00E+00	3.13E-03	5.84E-03	3.30E-03	9.03E-141	6.86E-04
RNF168_0_multinomial_train1.40	6.94E-04	0.00E+00	0.00E+00	1.08E-02	1.89E-03	8.82E-03	1.18E-03
EXO1_0_multinomial_train1.31	5.29E-04	9.57E-04	6.04E-03	2.67E-03	0.00E+00	3.53E-03	0.00E+00
EXO1_0_multinomial_train1.32	2.04E-03	9.27E-04	4.50E-03	2.37E-03	1.03E-03	2.98E-03	1.20E-03
EXO1_0_multinomial_train1.33	2.50E-03	3.17E-132	1.80E-03	1.80E-03	4.31E-04	1.21E-03	3.14E-03
RNF168_0_multinomial_train1.41	1.84E-03	0.00E+00	0.00E+00	1.16E-02	3.39E-03	1.10E-02	1.99E-03
RNF168_0_multinomial_train1.42	7.24E-03	0.00E+00	0.00E+00	1.02E-02	2.67E-03	1.55E-02	1.32E-03
EXO1_0_multinomial_train1.34	1.79E-03	7.07E-116	3.63E-03	2.22E-03	8.60E-04	2.29E-03	2.83E-54
RNF168_0_multinomial_train1.43	7.33E-04	0.00E+00	3.00E-03	9.88E-03	2.23E-03	9.74E-03	1.03E-03
EXO1_0_multinomial_train1.35	2.18E-03	0.00E+00	7.76E-04	6.65E-04	1.37E-03	1.96E-03	3.46E-03
EXO1_0_multinomial_train1.36	1.76E-03	0.00E+00	2.73E-03	9.39E-04	0.00E+00	1.18E-03	1.03E-03
RNF168_0_multinomial_train1.44	4.63E-03	0.00E+00	2.66E-127	1.60E-02	4.33E-03	1.69E-02	2.17E-03
EXO1_0_multinomial_train1.37	1.30E-03	0.00E+00	2.22E-03	1.25E-03	0.00E+00	0.00E+00	7.77E-04
RNF168_0_multinomial_train1.45	7.23E-04	0.00E+00	1.77E-03	1.57E-02	7.62E-03	1.13E-02	2.27E-03
RNF168_0_multinomial_train1.46	3.24E-03	0.00E+00	3.01E-03	7.96E-03	5.37E-03	8.23E-03	1.53E-03
RNF168_0_multinomial_train1.47	2.75E-03	0.00E+00	4.10E-03	1.02E-02	0.00E+00	1.54E-02	0.00E+00
RNF168_0_multinomial_train1.48	3.11E-03	0.00E+00	2.92E-03	5.95E-03	0.00E+00	1.00E-02	0.00E+00
RNF168_0_multinomial_train1.49	1.15E-03	1.40E-03	6.02E-03	6.44E-03	3.25E-03	8.67E-03	1.93E-03
RNF168_0_multinomial_train1.50	1.74E-03	5.13E-04	8.37E-03	8.78E-03	3.14E-03	8.25E-03	0.00E+00
EXO1_0_multinomial_train1.38	2.74E-03	0.00E+00	1.29E-03	9.77E-04	1.87E-03	3.88E-04	3.28E-03
RNF168_0_multinomial_train1.51	2.40E-03	0.00E+00	0.00E+00	8.78E-03	7.76E-04	1.01E-02	3.47E-04
RNF168_0_multinomial_train1.52	1.17E-03	4.90E-03	6.10E-03	2.96E-03	3.91E-03	2.18E-03	1.55E-03
EXO1_0_multinomial_train1.39	2.48E-03	3.27E-03	3.17E-03	1.65E-04	8.84E-04	6.14E-110	4.36E-03
EXO1_0_multinomial_train1.40	3.01E-04	1.22E-84	3.72E-03	3.92E-03	1.98E-03	3.48E-03	5.75E-05
RNF168_0_multinomial_train1.53	1.12E-03	0.00E+00	7.49E-04	1.27E-02	6.90E-03	7.72E-03	5.78E-03
EXO1_0_multinomial_train1.41	6.57E-04	1.58E-03	8.96E-03	1.67E-03	0.00E+00	6.14E-03	0.00E+00
EXO1_0_multinomial_train1.42	7.24E-04	0.00E+00	5.89E-03	2.07E-03	0.00E+00	4.08E-03	2.16E-50
RNF168_0_multinomial_train1.54	7.76E-04	0.00E+00	5.18E-03	1.72E-02	3.79E-03	1.66E-02	2.58E-03
OGG1_0_multinomial_train1	0.00E+00	0.00E+00	7.93E-03	4.10E-02	8.42E-02	1.46E-03	3.87E-02
UNG_0_multinomial_train1	0.00E+00	3.29E-03	3.50E-03	1.06E-02	5.44E-03	0.00E+00	1.31E-03
UNG_0_multinomial_train1.1	0.00E+00	4.11E-04	2.21E-03	9.83E-03	1.05E-02	7.13E-03	4.07E-03
UNG_0_multinomial_train1.2	1.67E-03	0.00E+00	3.20E-03	6.63E-03	8.88E-03	3.84E-04	2.69E-03
OGG1_0_multinomial_train1.1	0.00E+00	5.13E-03	8.15E-03	4.15E-02	8.50E-02	1.33E-114	4.12E-02
UNG_0_multinomial_train1.3	9.90E-03	1.33E-03	5.36E-03	1.53E-02	8.48E-03	0.00E+00	2.67E-03
OGG1_0_multinomial_train1.2	0.00E+00	3.89E-03	8.46E-03	4.09E-02	8.46E-02	0.00E+00	4.09E-02
OGG1_0_multinomial_train1.3	4.39E-85	1.28E-03	1.02E-02	4.17E-02	8.92E-02	0.00E+00	4.10E-02
UNG_0_multinomial_train1.4	0.00E+00	0.00E+00	1.00E-03	1.11E-02	6.30E-03	1.08E-02	1.14E-03
UNG_0_multinomial_train1.5	4.95E-19	0.00E+00	1.05E-03	8.46E-03	4.52E-03	3.50E-03	0.00E+00
OGG1_0_multinomial_train1.4	0.00E+00	2.75E-03	1.44E-02	3.74E-02	8.86E-02	0.00E+00	3.98E-02
OGG1_0_multinomial_train1.5	0.00E+00	5.89E-03	8.79E-03	4.27E-02	8.96E-02	0.00E+00	4.53E-02
UNG_0_multinomial_train1.6	2.89E-51	3.53E-04	1.79E-03	9.38E-03	3.11E-03	0.00E+00	1.50E-128
UNG_0_multinomial_train1.7	7.80E-04	2.98E-03	8.35E-03	9.33E-03	1.53E-02	0.00E+00	5.86E-03
UNG_0_multinomial_train1.8	0.00E+00	0.00E+00	1.54E-03	7.41E-03	1.10E-03	9.26E-03	1.31E-102
OGG1_0_multinomial_train1.6	0.00E+00	1.93E-03	7.60E-03	4.26E-02	8.63E-02	0.00E+00	4.14E-02
UNG_0_multinomial_train1.9	3.59E-03	3.00E-102	3.66E-03	1.03E-02	3.26E-03	3.14E-04	6.59E-04
OGG1_0_multinomial_train1.7	0.00E+00	1.64E-03	3.57E-03	4.77E-02	9.11E-02	2.81E-03	4.62E-02
UNG_0_multinomial_train1.10	1.23E-104	0.00E+00	1.98E-03	9.09E-03	6.22E-03	1.35E-02	1.53E-03
OGG1_0_multinomial_train1.8	2.67E-04	0.00E+00	4.94E-03	5.28E-02	8.38E-02	9.22E-03	4.12E-02
UNG_0_multinomial_train1.11	3.56E-83	0.00E+00	3.43E-03	1.27E-02	8.17E-03	7.21E-03	7.22E-03
OGG1_0_multinomial_train1.9	0.00E+00	2.29E-138	9.85E-03	3.91E-02	8.43E-02	1.04E-149	3.73E-02
OGG1_0_multinomial_train1.10	0.00E+00	0.00E+00	9.46E-03	3.73E-02	8.34E-02	3.81E-03	3.53E-02
OGG1_0_multinomial_train1.11	0.00E+00	2.32E-03	1.26E-02	3.80E-02	8.64E-02	0.00E+00	3.90E-02
UNG_0_multinomial_train1.12	5.70E-03	0.00E+00	1.99E-03	8.22E-03	0.00E+00	4.67E-03	0.00E+00
UNG_0_multinomial_train1.13	4.68E-40	0.00E+00	4.27E-03	7.68E-03	6.05E-03	1.34E-03	4.67E-03
UNG_0_multinomial_train1.14	3.96E-03	0.00E+00	1.65E-03	8.10E-03	0.00E+00	4.19E-03	0.00E+00
OGG1_0_multinomial_train1.12	0.00E+00	2.38E-03	9.42E-03	4.23E-02	8.80E-02	0.00E+00	4.07E-02
OGG1_0_multinomial_train1.13	0.00E+00	0.00E+00	3.40E-03	4.44E-02	8.55E-02	3.83E-03	4.35E-02
UNG_0_multinomial_train1.15	0.00E+00	2.97E-75	3.17E-03	9.32E-03	1.55E-03	1.57E-02	1.77E-03
UNG_0_multinomial_train1.16	9.07E-59	0.00E+00	3.54E-03	8.88E-03	7.44E-03	2.02E-65	4.19E-03
UNG_0_multinomial_train1.17	2.70E-28	0.00E+00	4.20E-03	6.83E-03	8.42E-03	0.00E+00	2.78E-03
OGG1_0_multinomial_train1.14	0.00E+00	0.00E+00	1.06E-02	3.73E-02	8.58E-02	5.24E-03	3.40E-02
UNG_0_multinomial_train1.18	0.00E+00	0.00E+00	3.26E-03	1.20E-02	6.84E-03	1.46E-02	2.30E-03
OGG1_0_multinomial_train1.15	1.42E-129	2.12E-03	5.92E-03	4.38E-02	8.37E-02	3.60E-03	4.19E-02
UNG_0_multinomial_train1.19	7.45E-27	2.90E-26	4.67E-03	1.01E-02	8.73E-03	4.25E-03	8.95E-03
OGG1_0_multinomial_train1.16	6.39E-110	7.83E-124	9.83E-03	3.78E-02	8.01E-02	8.24E-138	3.64E-02
UNG_0_multinomial_train1.20	4.33E-151	4.82E-119	2.16E-03	1.23E-02	4.99E-03	3.98E-05	1.30E-03
UNG_0_multinomial_train1.21	2.39E-03	5.10E-03	3.79E-03	1.59E-02	9.37E-03	0.00E+00	3.61E-03
OGG1_0_multinomial_train1.17	0.00E+00	3.32E-03	9.64E-03	4.15E-02	8.82E-02	0.00E+00	4.19E-02
UNG_0_multinomial_train1.22	0.00E+00	0.00E+00	1.40E-03	1.49E-02	4.66E-03	1.28E-02	5.77E-20
UNG_0_multinomial_train1.23	0.00E+00	0.00E+00	2.07E-03	1.63E-02	7.20E-03	1.65E-02	1.78E-03
UNG_0_multinomial_train1.24	3.51E-07	0.00E+00	4.04E-03	5.09E-03	4.25E-03	3.08E-41	3.18E-03
OGG1_0_multinomial_train1.18	2.05E-143	0.00E+00	7.46E-03	3.99E-02	8.21E-02	2.89E-03	4.06E-02
UNG_0_multinomial_train1.25	8.00E-04	0.00E+00	2.39E-03	8.25E-03	4.99E-03	1.27E-02	3.54E-03
OGG1_0_multinomial_train1.19	7.75E-117	3.25E-03	8.88E-03	3.97E-02	8.35E-02	0.00E+00	4.00E-02
UNG_0_multinomial_train1.26	0.00E+00	2.96E-03	1.98E-03	9.23E-03	2.85E-03	0.00E+00	3.38E-03
OGG1_0_multinomial_train1.20	2.07E-111	3.42E-03	7.12E-03	4.30E-02	8.46E-02	3.94E-03	4.26E-02
UNG_0_multinomial_train1.27	6.94E-56	0.00E+00	8.91E-04	3.95E-03	2.92E-03	9.87E-03	9.35E-04
OGG1_0_multinomial_train1.21	0.00E+00	0.00E+00	6.15E-03	3.60E-02	7.80E-02	1.36E-03	4.00E-02
OGG1_0_multinomial_train1.22	4.82E-155	0.00E+00	6.82E-03	4.31E-02	8.72E-02	1.14E-03	4.19E-02
UNG_0_multinomial_train1.28	5.70E-135	0.00E+00	1.77E-03	1.01E-02	5.08E-03	5.89E-96	0.00E+00
UNG_0_multinomial_train1.29	0.00E+00	0.00E+00	5.01E-03	7.26E-03	7.61E-03	2.23E-03	8.42E-03
OGG1_0_multinomial_train1.23	0.00E+00	1.84E-03	8.90E-03	4.28E-02	8.85E-02	0.00E+00	4.12E-02
OGG1_0_multinomial_train1.24	0.00E+00	2.64E-03	1.37E-02	3.65E-02	8.55E-02	1.58E-14	3.58E-02
OGG1_0_multinomial_train1.25	1.79E-93	0.00E+00	1.31E-03	4.86E-02	8.15E-02	1.25E-02	4.15E-02
OGG1_0_multinomial_train1.26	0.00E+00	0.00E+00	1.08E-02	3.86E-02	8.80E-02	6.25E-03	3.74E-02
UNG_0_multinomial_train1.30	0.00E+00	0.00E+00	3.23E-03	4.79E-03	8.45E-03	0.00E+00	3.83E-03
OGG1_0_multinomial_train1.27	0.00E+00	1.41E-03	1.05E-02	3.89E-02	8.57E-02	0.00E+00	3.81E-02
OGG1_0_multinomial_train1.28	4.23E-126	2.39E-03	4.34E-03	4.61E-02	8.82E-02	4.21E-03	4.49E-02
UNG_0_multinomial_train1.31	8.53E-133	0.00E+00	3.22E-04	1.63E-02	1.08E-02	1.29E-02	9.14E-03
UNG_0_multinomial_train1.32	4.93E-110	0.00E+00	4.10E-03	8.04E-03	8.16E-03	0.00E+00	2.84E-03
UNG_0_multinomial_train1.33	1.66E-10	0.00E+00	4.05E-03	3.94E-03	3.19E-03	2.07E-03	6.98E-04
OGG1_0_multinomial_train1.29	0.00E+00	0.00E+00	3.43E-03	4.75E-02	8.22E-02	7.40E-03	4.21E-02
OGG1_0_multinomial_train1.30	0.00E+00	3.36E-03	5.89E-03	4.40E-02	8.96E-02	2.50E-03	4.56E-02
UNG_0_multinomial_train1.34	3.78E-04	1.49E-03	3.44E-03	1.28E-02	9.71E-03	0.00E+00	3.75E-03
OGG1_0_multinomial_train1.31	0.00E+00	3.29E-03	6.66E-03	4.47E-02	8.87E-02	4.40E-03	4.56E-02
UNG_0_multinomial_train1.35	3.29E-03	5.27E-03	3.16E-03	1.69E-02	7.19E-03	0.00E+00	1.82E-03
UNG_0_multinomial_train1.36	2.73E-128	0.00E+00	1.05E-03	7.04E-03	4.81E-03	8.83E-03	2.05E-03
UNG_0_multinomial_train1.37	1.31E-03	0.00E+00	5.61E-03	1.38E-02	2.07E-124	1.54E-39	0.00E+00
OGG1_0_multinomial_train1.32	9.06E-71	3.51E-03	5.48E-03	4.27E-02	8.40E-02	7.53E-04	4.27E-02
UNG_0_multinomial_train1.38	3.62E-03	3.94E-154	1.21E-03	9.02E-03	2.17E-03	4.97E-03	1.26E-03
OGG1_0_multinomial_train1.33	0.00E+00	0.00E+00	2.84E-03	4.73E-02	8.06E-02	7.71E-03	4.10E-02
OGG1_0_multinomial_train1.34	0.00E+00	1.52E-04	5.40E-04	4.81E-02	8.59E-02	6.52E-03	4.31E-02
OGG1_0_multinomial_train1.35	0.00E+00	2.80E-03	3.38E-03	4.65E-02	8.45E-02	4.53E-03	4.26E-02
OGG1_0_multinomial_train1.36	1.57E-133	4.08E-152	1.15E-02	4.01E-02	8.72E-02	0.00E+00	3.96E-02
OGG1_0_multinomial_train1.37	0.00E+00	0.00E+00	6.24E-03	4.32E-02	8.89E-02	1.90E-03	4.35E-02
OGG1_0_multinomial_train1.38	0.00E+00	2.54E-03	1.00E-02	4.08E-02	8.78E-02	1.97E-41	4.04E-02
UNG_0_multinomial_train1.39	0.00E+00	1.48E-25	1.57E-03	4.00E-03	2.57E-03	5.74E-03	3.01E-04
OGG1_0_multinomial_train1.39	1.97E-140	3.02E-03	5.68E-03	4.17E-02	8.15E-02	9.92E-04	4.01E-02
UNG_0_multinomial_train1.40	4.88E-03	3.35E-19	4.80E-03	1.23E-02	0.00E+00	3.80E-03	0.00E+00
OGG1_0_multinomial_train1.40	0.00E+00	1.19E-03	9.01E-03	3.96E-02	8.11E-02	4.79E-03	3.60E-02
OGG1_0_multinomial_train1.41	1.46E-86	0.00E+00	7.57E-03	4.33E-02	8.96E-02	0.00E+00	4.41E-02
UNG_0_multinomial_train1.41	1.25E-02	0.00E+00	4.28E-03	1.77E-02	5.77E-03	1.20E-74	1.05E-03
OGG1_0_multinomial_train1.42	8.89E-147	0.00E+00	7.72E-03	4.24E-02	8.85E-02	5.17E-04	4.30E-02
UNG_0_multinomial_train1.42	4.14E-03	0.00E+00	1.75E-03	8.33E-03	0.00E+00	7.80E-03	0.00E+00
OGG1_0_multinomial_train1.43	1.17E-46	1.61E-78	7.36E-03	4.28E-02	8.62E-02	1.48E-04	4.12E-02
OGG1_0_multinomial_train1.44	2.14E-54	0.00E+00	1.39E-03	4.82E-02	8.61E-02	7.73E-03	4.33E-02
OGG1_0_multinomial_train1.45	0.00E+00	0.00E+00	7.70E-03	3.70E-02	8.28E-02	3.36E-03	3.84E-02
OGG1_0_multinomial_train1.46	0.00E+00	0.00E+00	2.47E-03	4.94E-02	8.06E-02	9.40E-03	4.10E-02
UNG_0_multinomial_train1.43	0.00E+00	3.34E-03	2.19E-03	3.61E-03	1.05E-02	4.32E-03	4.72E-03
OGG1_0_multinomial_train1.47	9.04E-49	1.18E-03	7.09E-04	4.86E-02	8.78E-02	7.93E-03	4.42E-02
OGG1_0_multinomial_train1.48	0.00E+00	2.28E-03	6.36E-03	4.14E-02	8.37E-02	3.66E-03	4.20E-02
OGG1_0_multinomial_train1.49	1.80E-161	2.59E-160	5.32E-03	4.27E-02	8.49E-02	2.46E-03	4.19E-02
OGG1_0_multinomial_train1.50	0.00E+00	2.77E-03	7.57E-03	4.35E-02	8.77E-02	1.30E-108	4.24E-02
UNG_0_multinomial_train1.44	2.39E-03	3.64E-03	2.99E-03	1.79E-02	1.07E-02	7.18E-84	3.53E-03
OGG1_0_multinomial_train1.51	1.76E-60	4.47E-03	6.23E-03	4.39E-02	8.76E-02	3.23E-83	4.45E-02
OGG1_0_multinomial_train1.52	0.00E+00	2.95E-100	8.75E-03	4.20E-02	8.71E-02	0.00E+00	4.06E-02
ATP2B4_0_multinomial_train1	4.94E-28	1.14E-02	3.96E-03	9.16E-02	7.14E-02	4.35E-02	5.69E-02
ATP2B4_1_multinomial_train1	3.49E-63	1.98E-03	3.87E-03	1.23E-01	8.18E-02	5.45E-02	6.62E-02
ATP2B4_0_multinomial_train1.1	1.58E-02	2.19E-03	5.06E-03	1.05E-01	6.81E-02	6.15E-02	6.41E-02
ATP2B4_1_multinomial_train1.1	2.75E-143	0.00E+00	0.00E+00	1.20E-01	8.56E-02	5.01E-02	6.91E-02
