Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
BRCA_TCGA-A7-A0D9	4.67E-01	0.00E+00	0.00E+00	4.73E-01	0.00E+00	0.00E+00	1.00E-01	2.60E-01	5.42E-01	5.00E-01	2.60E-01	7.33E-01	5.43E-01
BRCA_TCGA-A7-A0DA	1.67E+00	9.52E-01	8.84E-01	1.32E+00	8.31E-01	1.33E+00	8.17E-01	1.36E+00	1.83E+00	3.27E+00	4.06E+00	1.77E+00	7.16E-01
BRCA_TCGA-A7-A0DB	1.08E+00	5.59E-01	5.78E-01	3.06E-01	4.07E-01	0.00E+00	1.01E+00	9.00E-01	0.00E+00	1.44E+00	1.69E+00	1.26E+00	4.77E-01
BRCA_TCGA-A7-A13D	1.28E+00	6.29E-01	8.14E-01	1.65E+00	1.42E+00	5.26E-01	1.15E+00	1.17E+00	2.78E+00	1.51E+00	2.45E+00	1.40E+00	0.00E+00
BRCA_TCGA-A7-A13E	1.85E+00	0.00E+00	5.93E-01	8.72E-01	1.34E+00	4.01E-01	0.00E+00	1.97E+00	9.07E-01	1.19E+00	2.04E+00	1.02E+00	3.42E-01
BRCA_TCGA-A7-A13F	1.21E+00	5.39E-01	6.29E-01	5.62E-01	7.86E-01	0.00E+00	8.57E-01	8.59E-01	1.35E+00	8.84E-01	1.07E+00	8.56E-01	0.00E+00
BRCA_TCGA-A7-A13G	8.36E-01	2.58E-01	0.00E+00	8.95E-01	1.08E+00	0.00E+00	0.00E+00	1.00E-01	8.60E-01	5.47E-01	6.51E-01	7.72E-01	7.00E-01
BRCA_TCGA-A7-A26E	1.30E+00	0.00E+00	1.22E+00	8.27E-01	1.05E+00	3.59E-01	5.17E-01	8.33E-01	1.48E+00	1.72E+00	1.33E+00	1.62E+00	2.67E-01
BRCA_TCGA-A7-A26F	1.71E+00	6.53E-01	7.12E-01	0.00E+00	9.43E-01	2.67E-01	4.01E-01	1.30E+00	1.30E+00	4.99E-01	1.29E+00	7.37E-01	0.00E+00
BRCA_TCGA-A7-A26G	6.84E-01	6.33E-01	4.76E-01	9.04E-01	1.51E+00	5.43E-01	6.67E-01	4.76E-01	7.02E-01	2.74E+00	2.83E+00	1.54E+00	0.00E+00
BRCA_TCGA-A7-A26H	2.27E+00	1.22E+00	1.25E+00	1.01E+00	5.96E-01	6.00E-01	1.03E+00	1.06E+00	1.30E+00	2.02E+00	2.40E+00	2.40E+00	0.00E+00
BRCA_TCGA-A7-A26I	7.02E-01	4.00E-01	6.05E-01	4.58E-01	4.27E-01	0.00E+00	6.51E-01	6.40E-01	1.19E+00	2.27E+00	2.16E+00	7.42E-01	0.00E+00
BRCA_TCGA-A7-A26J	7.15E-01	5.97E-01	0.00E+00	2.67E-01	3.07E-01	1.33E-01	3.35E-01	3.67E-01	1.56E+00	1.08E+00	1.99E+00	9.87E-01	0.00E+00
BRCA_TCGA-A7-A2KD	1.80E+00	4.71E-01	8.57E-01	1.19E+00	1.00E-01	0.00E+00	0.00E+00	9.66E-01	1.48E+00	2.67E-01	9.45E-01	5.78E-01	5.42E-01
BRCA_TCGA-A7-A3RF	9.89E-01	0.00E+00	0.00E+00	1.00E-01	2.21E-01	6.23E-01	1.27E+00	8.83E-01	1.46E+00	2.82E+00	1.92E+00	3.73E-01	0.00E+00
BRCA_TCGA-A7-A425	8.83E-01	0.00E+00	0.00E+00	4.73E-01	1.00E-01	4.99E-01	6.18E-01	1.75E+00	9.04E-01	1.96E+00	2.05E+00	0.00E+00	4.33E-01
BRCA_TCGA-A7-A4SC	1.34E+00	3.14E-01	9.46E-01	7.42E-01	0.00E+00	0.00E+00	0.00E+00	5.78E-01	7.15E-01	1.31E+00	1.68E+00	4.16E-01	3.73E-01
BRCA_TCGA-A7-A4SD	1.50E+00	0.00E+00	4.71E-01	3.00E-01	9.55E-01	8.98E-01	9.29E-01	6.23E-01	1.61E+00	9.57E-01	1.44E+00	4.27E-01	1.31E+00
BRCA_TCGA-A7-A4SE	3.96E-01	5.97E-01	3.96E-01	7.75E-01	1.46E+00	3.00E-01	1.19E+00	1.65E+00	2.24E+00	1.93E+00	3.76E+00	2.52E+00	3.48E-01
BRCA_TCGA-A7-A56D	2.54E+00	1.23E+00	1.11E+00	1.10E+00	1.77E+00	5.73E-01	4.82E-01	3.09E+00	3.51E+00	4.96E-01	2.70E+00	3.13E+00	4.58E-01
BRCA_TCGA-A7-A5ZV	2.67E+00	8.49E-01	1.42E+00	2.26E+00	1.20E+00	2.20E+00	1.80E+00	2.27E+00	2.29E+00	4.28E+00	4.59E+00	2.18E+00	1.71E+00
BRCA_TCGA-A7-A5ZW	8.98E-01	4.90E-01	5.42E-01	5.42E-01	3.35E-01	5.58E-01	1.28E+00	6.96E-01	9.46E-01	7.02E-01	4.53E-01	1.06E+00	0.00E+00
BRCA_TCGA-A7-A5ZX	7.45E-01	2.67E-01	5.04E-01	7.48E-01	2.69E-01	3.07E-01	8.03E-01	6.96E-01	1.64E+00	6.80E-01	1.18E+00	1.21E+00	6.70E-01
BRCA_TCGA-A7-A6VV	1.16E+00	0.00E+00	3.94E-01	0.00E+00	1.14E+00	4.00E-01	3.06E-01	1.22E+00	2.14E+00	2.28E+00	1.10E+00	1.17E+00	4.00E-01
BRCA_TCGA-A7-A6VW	1.56E+00	0.00E+00	5.21E-01	3.06E-01	1.03E+00	8.97E-01	1.44E+00	1.73E+00	2.14E+00	2.06E+00	3.17E+00	8.00E-01	7.75E-01
BRCA_TCGA-A7-A6VX	5.96E-01	4.90E-01	4.96E-01	8.57E-01	2.10E+00	9.33E-01	9.71E-01	1.03E+00	3.30E+00	5.26E+00	4.83E+00	2.71E+00	1.33E+00
BRCA_TCGA-A7-A6VY	1.31E+00	7.27E-01	6.18E-01	1.13E+00	1.89E+00	4.01E-01	1.16E+00	1.37E+00	2.39E+00	1.29E+00	2.69E+00	1.99E+00	4.00E-01
BRCA_TCGA-A8-A075	1.20E+00	6.70E-01	6.50E-01	6.53E-01	4.99E-01	2.69E-01	9.21E-01	9.98E-01	1.99E+00	2.42E+00	2.60E+00	7.75E-01	8.62E-01
BRCA_TCGA-AC-A23C	1.71E+00	8.92E-01	7.48E-01	1.20E+00	1.62E+00	0.00E+00	6.71E-01	9.09E-01	2.14E+00	2.03E+00	3.44E+00	7.63E-01	7.63E-01
BRCA_TCGA-AC-A23E	8.33E-01	3.79E-01	4.27E-01	3.06E-01	2.21E-01	0.00E+00	0.00E+00	2.00E-01	4.27E-01	3.59E-01	9.09E-01	0.00E+00	0.00E+00
BRCA_TCGA-AC-A23H	5.54E+00	8.55E+00	8.54E+00	3.50E+00	5.55E+00	3.55E+00	2.03E+00	3.89E+00	8.34E+00	3.64E+01	6.25E+00	2.98E+01	1.46E+00
BRCA_TCGA-AC-A2B8	1.34E+00	4.01E-01	7.27E-01	5.04E-01	7.18E-01	0.00E+00	4.42E-01	8.00E-01	1.25E+00	1.30E+00	8.31E-01	1.73E+00	0.00E+00
BRCA_TCGA-AC-A2BK	1.93E+00	0.00E+00	1.04E+00	1.47E+00	5.47E-01	6.23E-01	7.48E-01	1.10E+00	1.26E+00	2.80E+00	2.40E+00	8.00E-01	6.18E-01
BRCA_TCGA-AC-A2BM	9.60E-01	4.00E-01	3.27E-01	1.18E+00	1.49E+00	0.00E+00	0.00E+00	4.27E-01	4.42E-01	3.42E-01	1.23E+00	5.16E-01	5.81E-01
BRCA_TCGA-AC-A2FB	7.90E-01	0.00E+00	0.00E+00	3.06E-01	0.00E+00	0.00E+00	7.15E-01	1.33E-01	9.10E-01	5.97E-01	8.03E-01	5.63E-01	0.00E+00
BRCA_TCGA-AC-A2FF	2.00E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.14E-01	3.14E-01	2.00E-01	5.63E-01	0.00E+00	5.33E-01	6.33E-01	0.00E+00
BRCA_TCGA-AC-A2FG	8.03E-01	0.00E+00	5.59E-01	3.00E-01	7.61E-01	2.98E-01	1.08E+00	1.02E+00	2.15E+00	6.71E-01	9.17E-01	1.07E+00	3.42E-01
BRCA_TCGA-AC-A2FK	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01	4.00E-01	0.00E+00	4.00E-01	2.60E-01	0.00E+00
BRCA_TCGA-AC-A2FO	3.14E-01	6.33E-01	5.12E-01	0.00E+00	1.00E-01	0.00E+00	0.00E+00	2.67E-01	5.81E-01	6.40E-01	1.08E+00	9.45E-01	0.00E+00
BRCA_TCGA-AC-A2QH	1.10E+00	2.67E-01	0.00E+00	1.12E+00	8.88E-01	5.12E-01	2.60E-01	4.23E-01	1.02E+00	1.00E-01	7.67E-01	9.31E-01	0.00E+00
BRCA_TCGA-AC-A3HN	6.05E-01	0.00E+00	1.63E-01	6.33E-01	4.90E-01	0.00E+00	8.23E-01	3.00E-01	8.09E-01	6.80E-01	1.29E+00	5.21E-01	6.23E-01
