Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T
BRCA_TCGA-A7-A0CH	0	0	1	0	0	2	0	0	0	2	3	0	0	4	0	1	0	2	1	1
BRCA_TCGA-A7-A0D9	0	1	0	1	0	0	0	0	0	0	0	0	3	4	2	0	1	0	0	0
BRCA_TCGA-A7-A0DA	2	3	5	2	2	9	2	0	0	13	6	8	12	2	13	9	6	72	9	12
BRCA_TCGA-A7-A0DB	1	2	2	6	2	2	2	0	2	0	0	0	0	5	15	3	3	6	1	1
BRCA_TCGA-A7-A13D	0	3	3	6	1	7	4	0	2	17	5	5	3	7	12	0	0	58	1	6
BRCA_TCGA-A7-A13E	0	8	2	22	6	4	0	3	0	1	3	0	0	6	3	0	0	15	7	0
BRCA_TCGA-A7-A13F	1	4	5	4	2	8	0	0	2	5	2	0	1	2	3	1	0	2	2	1
BRCA_TCGA-A7-A13G	1	4	0	1	0	3	0	0	0	5	1	0	1	1	7	1	1	1	0	5
BRCA_TCGA-A7-A26E	0	2	9	9	3	4	0	1	1	0	2	1	2	10	12	0	2	2	3	4
BRCA_TCGA-A7-A26F	2	0	3	12	3	0	0	1	0	2	0	0	0	3	3	6	0	7	2	2
BRCA_TCGA-A7-A26G	2	3	2	0	0	4	1	2	2	7	1	1	4	2	15	1	0	13	2	6
BRCA_TCGA-A7-A26H	4	2	6	13	2	12	0	0	0	0	2	1	9	16	68	0	0	8	5	2
BRCA_TCGA-A7-A26I	1	1	2	3	1	3	0	0	2	3	3	1	0	7	5	4	0	6	2	2
BRCA_TCGA-A7-A26J	3	0	0	6	0	0	0	0	0	1	0	1	4	8	1	1	0	12	2	3
BRCA_TCGA-A7-A2KD	1	5	3	2	2	12	0	0	0	0	1	0	1	5	6	4	1	5	0	7
BRCA_TCGA-A7-A3RF	0	1	0	6	0	0	0	0	2	3	0	2	0	0	3	17	0	2	3	1
BRCA_TCGA-A7-A425	0	2	0	7	0	0	0	0	1	1	1	5	0	3	0	3	0	1	3	6
BRCA_TCGA-A7-A4SC	1	4	3	0	0	9	0	0	0	0	2	1	0	4	0	0	2	4	6	2
BRCA_TCGA-A7-A4SD	0	3	4	10	1	10	0	1	5	9	0	2	0	0	2	2	4	5	3	1
BRCA_TCGA-A7-A4SE	2	0	1	4	9	1	4	1	7	11	0	2	5	5	35	3	2	47	0	7
BRCA_TCGA-A7-A56D	9	11	14	10	6	6	0	0	1	8	0	1	1	38	84	5	1	17	0	13
BRCA_TCGA-A7-A5ZV	3	8	7	8	5	25	1	4	6	4	17	16	2	5	30	15	13	89	5	5
BRCA_TCGA-A7-A5ZW	1	1	3	5	1	0	0	0	2	1	5	1	1	0	12	1	0	0	2	0
BRCA_TCGA-A7-A5ZX	1	2	4	1	1	2	0	0	3	2	1	2	0	7	1	0	3	8	1	3
BRCA_TCGA-A7-A6VV	0	1	0	9	0	7	0	3	0	7	6	0	0	6	8	3	0	13	1	0
BRCA_TCGA-A7-A6VW	0	0	3	7	1	3	0	2	5	6	3	6	1	3	7	19	2	17	0	7
BRCA_TCGA-A7-A6VX	1	2	3	4	8	2	2	1	2	5	7	18	3	25	30	13	7	27	7	10
BRCA_TCGA-A7-A6VY	3	3	4	3	10	5	3	2	5	5	6	3	0	12	13	0	1	53	3	2
BRCA_TCGA-A8-A075	3	3	2	5	2	2	0	0	0	0	4	5	1	23	17	1	2	22	0	8
BRCA_TCGA-AC-A23C	6	7	5	3	5	2	0	0	8	7	4	0	0	20	43	8	2	12	3	10
BRCA_TCGA-AC-A23E	1	1	2	3	0	6	0	0	0	1	0	0	1	0	0	2	0	7	0	0
BRCA_TCGA-AC-A23H	127	35	322	0	63	0	12	10	0	3	0	0	0	557	4948	0	4	0	280	17
BRCA_TCGA-AC-A2B8	2	0	7	5	5	3	0	0	1	0	0	0	0	22	68	0	0	6	8	1
BRCA_TCGA-AC-A2BK	0	12	4	3	3	14	0	1	7	3	4	5	3	0	2	0	0	39	9	1
BRCA_TCGA-AC-A2BM	0	2	1	1	4	3	0	0	0	1	0	0	0	0	2	0	4	2	2	4
BRCA_TCGA-AC-A2FB	0	1	0	1	0	1	0	0	3	0	1	0	0	4	2	1	0	0	0	3
BRCA_TCGA-AC-A2FF	0	0	0	1	0	0	0	0	0	0	0	2	0	5	2	0	0	1	0	0
BRCA_TCGA-AC-A2FG	0	0	3	7	2	0	0	0	1	2	1	2	0	4	7	2	0	0	1	7
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1
BRCA_TCGA-AC-A2FO	1	0	2	2	0	0	0	0	0	2	0	0	0	7	7	0	0	2	2	2
BRCA_TCGA-AC-A2QH	1	4	0	5	1	0	0	1	1	5	0	0	0	0	4	0	0	2	2	1
BRCA_TCGA-AC-A3HN	0	3	1	1	1	1	0	0	2	0	0	1	0	1	2	0	2	2	0	5
BRCA_TCGA-AC-A3OD	2	4	4	2	0	0	0	1	0	6	0	0	0	5	4	9	0	0	0	2
BRCA_TCGA-AC-A3QP	0	1	3	1	0	1	0	0	2	3	5	0	0	0	0	3	0	6	5	5
BRCA_TCGA-AC-A3QQ	1	4	0	2	2	6	0	0	0	1	0	0	2	5	0	2	2	2	0	7
BRCA_TCGA-AC-A3W5	1	8	7	4	8	7	0	1	1	11	5	0	1	13	52	8	6	68	3	7
BRCA_TCGA-AC-A3YI	0	2	2	0	0	2	0	0	2	0	1	0	0	1	0	4	0	2	2	0
BRCA_TCGA-AC-A3YJ	1	4	1	4	0	5	0	0	2	0	0	0	2	8	2	7	0	0	0	2
BRCA_TCGA-AC-A4ZE	0	5	3	6	7	2	0	1	0	0	8	2	3	6	5	0	0	11	7	8
BRCA_TCGA-AC-A5EH	6	3	5	2	7	15	2	2	2	13	15	10	7	11	19	0	6	52	14	14
BRCA_TCGA-AC-A5EI	0	1	3	6	0	1	0	0	2	0	3	0	2	9	6	0	0	2	2	6
BRCA_TCGA-AC-A5XS	16	3	56	0	4	0	3	1	0	0	0	0	0	161	440	0	0	21	9	1
BRCA_TCGA-AC-A5XU	1	14	3	14	0	11	2	3	5	7	0	0	0	21	10	0	0	5	12	5
BRCA_TCGA-AC-A62V	5	20	4	7	2	13	0	0	2	8	1	1	1	8	6	0	0	24	1	3
BRCA_TCGA-AC-A62X	5	12	2	15	0	19	0	1	6	3	0	0	0	5	2	0	2	10	5	0
BRCA_TCGA-AC-A62Y	0	2	2	10	2	2	0	1	1	2	5	4	6	6	25	5	2	10	0	4
BRCA_TCGA-AC-A6IV	0	0	4	2	2	3	0	2	0	0	0	0	0	1	0	9	0	0	1	3
BRCA_TCGA-AC-A6IW	0	12	6	6	4	16	1	1	0	5	3	0	4	18	79	27	4	34	11	0
BRCA_TCGA-AC-A6IX	0	4	2	5	4	2	0	0	2	0	5	0	0	16	23	2	0	0	1	5
BRCA_TCGA-AC-A6NO	0	1	2	9	8	0	0	0	1	0	4	1	1	6	1	3	0	0	6	0
BRCA_TCGA-AC-A7VB	0	5	1	8	4	2	0	0	0	0	3	0	0	2	0	4	0	0	6	0
BRCA_TCGA-AC-A7VC	0	1	3	6	3	2	0	0	1	0	0	0	0	1	0	3	0	4	1	1
BRCA_TCGA-AC-A8OP	9	13	13	17	7	15	7	13	10	17	8	16	2	11	20	0	2	50	5	9
BRCA_TCGA-AC-A8OQ	1	7	9	21	8	0	0	3	3	0	0	5	1	14	14	13	5	18	10	5
BRCA_TCGA-AC-A8OR	0	4	0	1	2	5	0	0	0	0	0	7	0	0	1	6	1	1	0	4
BRCA_TCGA-AC-A8OS	0	0	1	8	3	4	1	0	4	2	7	0	0	12	14	0	4	9	2	8
BRCA_TCGA-AN-A0XL	3	0	2	4	1	6	0	3	2	0	3	0	1	6	0	2	0	2	5	0
BRCA_TCGA-AN-A0XN	5	5	4	5	3	2	0	4	8	14	3	4	9	3	14	29	8	45	6	4
BRCA_TCGA-AN-A0XO	0	2	5	2	1	0	0	0	2	0	3	0	1	7	6	5	0	6	0	3
BRCA_TCGA-AN-A0XP	1	2	1	1	2	3	0	0	5	0	0	2	1	0	8	1	2	3	0	2
BRCA_TCGA-AN-A0XR	0	0	0	4	5	4	0	0	0	0	0	2	0	4	5	0	0	8	2	4
BRCA_TCGA-AN-A0XS	0	1	3	1	5	3	0	0	0	0	0	2	0	0	6	4	0	0	1	6
BRCA_TCGA-AN-A0XT	0	1	1	6	1	1	0	0	1	3	0	2	0	2	1	3	0	0	0	0
BRCA_TCGA-AN-A0XU	9	0	4	9	6	5	2	4	0	2	7	5	0	0	17	14	0	41	3	9
BRCA_TCGA-AN-A0XV	0	6	3	1	0	3	0	0	3	5	2	1	4	0	5	1	0	8	0	2
BRCA_TCGA-AN-A0XW	5	3	12	2	0	3	3	1	0	5	0	2	0	24	359	0	2	0	2	0
BRCA_TCGA-AO-A03M	19	1	62	6	4	0	0	0	0	0	2	0	1	108	924	0	0	23	0	0
BRCA_TCGA-AO-A03N	4	5	8	6	4	1	2	4	0	4	0	0	0	25	62	0	0	4	5	0
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	2	0
BRCA_TCGA-AO-A03V	1	0	4	5	5	2	2	0	0	0	2	4	6	14	13	0	2	1	9	2
BRCA_TCGA-AO-A0JG	2	0	0	0	1	0	0	2	1	0	1	1	0	3	0	0	2	4	0	4
BRCA_TCGA-AO-A124	5	4	5	6	3	5	2	0	1	17	13	2	3	12	3	3	5	58	23	8
BRCA_TCGA-AO-A125	1	2	4	4	1	8	0	3	0	4	0	0	1	1	3	3	0	5	0	5
BRCA_TCGA-AO-A126	0	0	2	7	0	0	0	0	0	1	2	1	0	0	3	2	0	2	2	3
BRCA_TCGA-AO-A128	3	138	36	186	108	99	2	106	120	31	276	7	41	3	30	0	22	2	0	0
BRCA_TCGA-AO-A129	2	3	1	9	1	0	1	7	3	4	8	8	8	5	29	6	6	35	5	3
BRCA_TCGA-AO-A12A	0	3	0	1	0	4	0	0	0	0	0	0	0	2	3	0	0	0	0	6
BRCA_TCGA-AO-A12B	0	1	0	4	0	3	2	1	0	0	0	0	3	0	1	0	0	2	0	6
BRCA_TCGA-AO-A12D	0	0	9	5	0	3	0	0	0	4	1	0	0	20	21	0	0	2	5	3
BRCA_TCGA-AO-A12E	0	4	2	4	0	3	0	0	0	2	1	0	2	4	1	1	0	5	0	4
BRCA_TCGA-AO-A12F	1	7	2	1	0	6	4	0	0	4	0	2	1	0	0	5	0	3	0	4
BRCA_TCGA-AO-A12G	0	0	1	9	2	0	0	0	5	5	0	0	2	5	6	1	0	4	0	2
BRCA_TCGA-AO-A12H	0	0	2	8	4	0	0	0	1	0	2	0	0	4	0	3	0	5	0	1
BRCA_TCGA-AO-A1KO	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	1	0	2	0	2
BRCA_TCGA-AO-A1KR	1	0	3	3	1	8	0	0	0	10	7	0	12	0	11	2	0	26	3	2
BRCA_TCGA-AO-A1KT	0	2	3	4	1	5	0	1	7	3	3	0	2	1	2	0	0	5	2	10
BRCA_TCGA-AQ-A04H	2	9	5	20	2	6	0	0	7	6	0	0	2	1	6	1	2	8	3	1
BRCA_TCGA-AQ-A0Y5	0	6	6	9	0	5	0	2	3	0	2	0	0	5	17	0	1	13	0	1
BRCA_TCGA-AQ-A1H2	0	2	3	5	2	1	0	0	1	3	2	0	0	1	1	1	2	3	3	4
BRCA_TCGA-AQ-A1H3	0	3	0	10	0	7	0	0	2	0	0	0	0	0	0	0	2	2	0	1
BRCA_TCGA-AQ-A54O	1	1	0	1	0	4	0	0	0	8	1	0	0	0	3	0	1	0	1	4
BRCA_TCGA-AQ-A7U7	0	4	8	4	5	0	0	0	0	0	2	0	1	8	50	4	2	0	4	4
BRCA_TCGA-AR-A0TP	0	0	1	3	2	0	0	1	1	5	6	5	6	1	6	3	1	23	3	4
BRCA_TCGA-AR-A0TQ	1	2	2	2	4	6	0	0	0	0	1	3	0	10	8	0	1	1	4	4
BRCA_TCGA-AR-A0TR	0	1	3	1	4	9	0	0	2	3	5	0	3	3	1	0	0	1	0	6
BRCA_TCGA-AR-A0TS	1	5	0	2	0	11	0	4	0	4	2	3	2	5	10	6	2	23	4	6
BRCA_TCGA-AR-A0TT	0	7	4	4	1	6	0	0	6	5	0	0	0	8	12	6	2	7	0	7
BRCA_TCGA-AR-A0TU	5	5	1	7	1	0	0	1	1	5	0	6	4	0	11	11	1	31	0	0
BRCA_TCGA-AR-A0TV	1	1	1	14	7	6	0	0	3	4	0	2	0	8	4	12	0	11	4	1
BRCA_TCGA-AR-A0TW	4	3	4	11	3	3	0	1	0	5	3	4	1	0	4	4	0	13	2	2
BRCA_TCGA-AR-A0TX	2	2	34	2	3	0	0	0	2	1	0	0	2	50	298	0	0	6	0	5
BRCA_TCGA-AR-A0TZ	4	3	8	5	1	1	2	0	0	5	2	2	3	0	20	0	0	3	3	5
BRCA_TCGA-AR-A0U0	3	2	2	1	2	5	2	0	0	5	0	0	2	2	9	4	1	6	3	1
BRCA_TCGA-AR-A0U1	3	2	1	0	0	5	0	2	6	0	7	6	6	3	10	14	1	34	6	3
BRCA_TCGA-AR-A0U2	0	8	2	5	4	3	0	1	0	2	1	3	2	2	0	8	0	4	5	6
BRCA_TCGA-AR-A0U3	2	6	3	2	2	2	0	1	1	5	0	0	1	5	0	1	0	5	1	3
BRCA_TCGA-AR-A0U4	8	4	4	0	1	11	1	3	5	12	3	0	3	6	49	9	4	63	14	1
BRCA_TCGA-AR-A1AH	8	8	2	5	8	0	0	6	12	0	2	6	0	0	8	5	5	26	17	2
BRCA_TCGA-AR-A1AI	1	5	8	7	2	3	0	1	5	12	1	0	4	9	14	4	0	9	2	2
BRCA_TCGA-AR-A1AJ	0	2	4	8	1	0	0	0	1	4	3	0	1	7	18	0	0	0	0	4
BRCA_TCGA-AR-A1AK	1	4	6	6	0	2	0	0	3	0	1	2	0	12	28	0	0	5	10	2
BRCA_TCGA-AR-A1AL	0	2	1	1	0	3	0	0	0	1	6	1	3	4	5	0	0	1	0	2
BRCA_TCGA-AR-A1AN	0	3	2	9	0	0	0	0	2	3	0	0	0	1	3	3	0	5	0	0
BRCA_TCGA-AR-A1AO	1	4	6	5	0	3	3	0	2	7	4	9	5	9	21	0	4	37	1	1
BRCA_TCGA-AR-A1AP	1	5	4	9	3	4	0	0	3	0	0	0	0	8	8	1	1	3	1	0
BRCA_TCGA-AR-A1AQ	0	2	1	1	2	8	0	0	0	7	5	0	2	1	3	0	0	9	0	0
BRCA_TCGA-AR-A1AR	2	6	0	3	0	4	0	0	2	2	0	2	0	4	7	8	4	11	3	5
BRCA_TCGA-AR-A1AS	1	5	3	0	3	0	0	0	1	4	0	0	1	6	9	0	0	2	1	5
BRCA_TCGA-AR-A1AT	0	2	1	0	0	7	2	0	0	4	2	1	2	0	2	1	0	8	0	0
BRCA_TCGA-AR-A1AU	0	3	0	6	0	0	0	0	2	1	2	1	0	5	0	0	1	5	0	0
BRCA_TCGA-AR-A1AV	1	8	3	7	0	0	2	0	0	0	4	0	2	9	1	0	0	5	5	2
BRCA_TCGA-AR-A1AW	1	3	0	1	5	8	2	0	1	0	4	0	0	3	2	3	0	4	0	4
BRCA_TCGA-AR-A1AX	0	2	4	2	0	0	0	0	0	3	1	0	2	6	0	7	0	2	1	2
BRCA_TCGA-AR-A1AY	1	2	3	9	5	5	0	0	0	3	8	3	0	9	9	0	0	10	3	2
BRCA_TCGA-AR-A24H	8	2	1	7	3	5	2	0	0	11	4	7	8	5	23	9	0	44	4	9
BRCA_TCGA-AR-A24K	0	0	2	3	0	0	0	2	3	9	0	0	1	1	0	5	0	7	1	0
BRCA_TCGA-AR-A24L	0	2	0	1	3	2	0	0	2	0	0	0	2	2	5	6	1	19	6	2
BRCA_TCGA-AR-A24M	0	2	0	2	1	0	0	1	0	0	4	4	2	0	1	1	0	0	5	2
BRCA_TCGA-AR-A24N	0	3	1	6	3	6	0	2	1	1	0	0	6	6	4	1	1	1	3	2
BRCA_TCGA-AR-A24O	1	0	0	6	3	3	0	0	0	1	0	1	0	0	1	4	0	2	0	0
BRCA_TCGA-AR-A24P	0	2	3	2	0	0	0	0	1	3	0	2	0	1	0	2	0	1	0	2
BRCA_TCGA-AR-A24Q	5	5	4	0	10	3	5	3	4	20	9	15	5	19	28	0	2	69	11	15
BRCA_TCGA-AR-A24R	0	3	1	3	0	6	0	2	0	3	4	0	0	1	1	0	0	2	0	0
BRCA_TCGA-AR-A24S	1	3	2	7	0	3	0	1	5	0	0	2	4	6	10	7	0	4	0	2
BRCA_TCGA-AR-A24T	0	1	2	4	0	4	0	0	0	0	0	0	1	1	2	3	0	0	6	0
BRCA_TCGA-AR-A24U	0	4	3	3	0	0	0	0	0	4	0	1	0	8	13	0	0	0	4	4
BRCA_TCGA-AR-A24V	0	3	3	1	0	7	0	0	1	0	2	0	0	0	4	0	0	2	2	3
BRCA_TCGA-AR-A24W	0	1	1	0	0	0	0	0	0	5	0	0	0	3	0	1	0	0	1	2
BRCA_TCGA-AR-A24X	0	3	4	4	1	0	0	0	1	0	3	3	1	2	0	5	1	2	4	0
BRCA_TCGA-AR-A24Z	0	2	2	4	1	6	0	0	0	6	1	0	3	2	5	4	0	13	4	3
BRCA_TCGA-AR-A250	4	8	12	12	3	12	0	3	1	4	0	3	3	4	57	11	0	17	1	0
BRCA_TCGA-AR-A251	5	3	0	2	2	11	0	4	0	0	11	19	10	5	30	21	2	76	0	4
