Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
BRCA_TCGA-A7-A5ZX	0	1	2	5	0	0	0	1	8	1	5	12	3	4
BRCA_TCGA-A7-A6VV	12	0	0	0	3	3	0	0	0	8	16	13	9	0
BRCA_TCGA-A7-A6VW	6	0	0	3	4	3	0	9	0	7	16	33	8	3
BRCA_TCGA-A7-A6VX	0	0	4	4	6	0	4	0	28	9	21	56	37	8
BRCA_TCGA-A7-A6VY	2	3	4	5	10	0	3	6	11	6	13	55	18	0
BRCA_TCGA-A8-A075	2	3	4	3	0	0	0	0	6	3	25	27	25	2
BRCA_TCGA-AC-A23C	3	7	8	6	8	0	0	12	0	4	16	26	52	3
BRCA_TCGA-AC-A23E	6	1	0	2	0	0	0	0	2	2	4	7	0	0
BRCA_TCGA-AC-A23H	0	131	44	379	80	13	43	0	0	2	108	75	5501	2
BRCA_TCGA-AC-A2B8	4	1	0	8	3	0	3	0	13	0	9	7	80	0
BRCA_TCGA-AC-A2BK	9	0	14	4	0	1	0	5	10	7	10	48	2	0
BRCA_TCGA-AC-A2BM	3	0	2	1	4	0	0	0	1	0	1	7	2	5
BRCA_TCGA-AC-A2FB	1	0	1	0	0	0	0	3	0	1	7	1	3	0
BRCA_TCGA-AC-A2FF	0	0	0	0	0	0	1	0	4	0	2	0	4	0
BRCA_TCGA-AC-A2FG	7	0	0	3	5	0	0	3	0	0	2	9	9	1
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	1	0	0	2	0	0
BRCA_TCGA-AC-A2FO	1	2	0	3	0	0	1	0	1	0	5	4	10	0
BRCA_TCGA-AC-A2QH	8	1	3	0	4	2	0	0	0	0	0	5	4	0
BRCA_TCGA-AC-A3HN	2	0	4	1	0	0	0	3	0	0	1	6	3	2
BRCA_TCGA-AC-A3OD	2	3	5	5	3	2	0	1	0	0	10	2	6	0
BRCA_TCGA-AC-A3QP	2	0	1	3	1	0	0	2	0	6	2	18	0	0
BRCA_TCGA-AC-A3QQ	4	1	5	0	0	0	0	0	7	0	10	6	1	2
BRCA_TCGA-AC-A3W5	3	1	12	8	9	0	0	1	0	7	26	75	62	7
BRCA_TCGA-AC-A3YI	0	0	3	2	0	0	0	2	0	1	3	7	0	0
BRCA_TCGA-AC-A3YJ	6	1	4	1	0	0	0	4	0	1	16	1	4	0
BRCA_TCGA-AC-A4ZE	6	0	5	3	5	0	1	0	9	9	3	25	8	0
BRCA_TCGA-AC-A5EH	3	6	3	5	8	0	2	0	33	19	15	82	23	6
BRCA_TCGA-AC-A5EI	7	0	1	3	0	0	1	4	0	2	9	6	10	0
BRCA_TCGA-AC-A5XS	0	14	2	67	0	0	13	0	39	0	69	0	511	0
BRCA_TCGA-AC-A5XU	21	1	12	4	0	2	7	2	13	0	13	22	16	0
BRCA_TCGA-AC-A62V	16	6	22	4	3	0	0	0	0	3	19	24	9	0
BRCA_TCGA-AC-A62X	27	6	9	2	0	2	0	4	2	2	12	15	4	2
BRCA_TCGA-AC-A62Y	12	0	1	3	4	1	0	3	7	6	4	16	29	3
BRCA_TCGA-AC-A6IV	3	0	0	4	3	2	0	0	0	2	5	8	0	0
BRCA_TCGA-AC-A6IW	11	0	14	7	3	0	2	2	0	10	37	53	87	5
BRCA_TCGA-AC-A6IX	4	0	5	2	1	0	1	3	6	5	15	0	29	0
BRCA_TCGA-AC-A6NO	9	0	0	2	6	0	2	3	4	3	2	9	3	0
BRCA_TCGA-AC-A7VB	9	0	5	0	3	0	1	0	0	4	7	6	0	0
BRCA_TCGA-AC-A7VC	6	0	1	3	3	0	0	2	0	1	3	7	0	0
BRCA_TCGA-AC-A8OP	27	10	10	14	14	18	8	8	15	10	14	69	25	2
BRCA_TCGA-AC-A8OQ	20	2	7	10	7	3	3	8	0	0	16	35	20	6
BRCA_TCGA-AC-A8OR	1	0	5	0	0	0	0	0	11	1	4	9	0	1
BRCA_TCGA-AC-A8OS	9	0	0	2	4	0	1	5	2	7	12	15	17	5
BRCA_TCGA-AN-A0XL	5	3	0	2	0	3	1	1	7	4	7	7	0	0
BRCA_TCGA-AN-A0XN	6	6	6	4	10	6	0	15	0	6	11	79	16	10
BRCA_TCGA-AN-A0XO	1	0	3	6	0	0	1	6	0	4	4	9	9	0
BRCA_TCGA-AN-A0XP	2	1	2	1	0	0	0	7	5	0	1	5	8	2
BRCA_TCGA-AN-A0XR	5	0	0	0	4	0	0	0	4	0	7	12	6	0
BRCA_TCGA-AN-A0XS	2	0	1	3	4	0	0	0	5	0	2	9	6	0
BRCA_TCGA-AN-A0XT	8	0	0	1	3	0	0	1	0	0	7	1	1	0
BRCA_TCGA-AN-A0XU	9	10	0	4	8	3	0	1	0	12	11	60	18	1
BRCA_TCGA-AN-A0XV	3	0	7	4	1	0	0	4	0	2	3	15	5	0
BRCA_TCGA-AN-A0XW	6	5	2	14	3	3	0	0	0	0	0	0	387	3
BRCA_TCGA-AO-A03M	7	17	0	73	0	0	0	0	11	3	6	0	1033	0
BRCA_TCGA-AO-A03N	7	4	4	10	6	4	5	0	14	0	5	4	71	0
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	1	0	0	0	0	1	3	0
BRCA_TCGA-AO-A03V	3	1	0	5	3	0	5	0	13	0	11	12	17	2
BRCA_TCGA-AO-A0JG	0	3	0	0	1	2	0	2	0	1	2	6	2	2
BRCA_TCGA-AO-A124	9	6	4	6	10	0	6	0	0	14	18	91	9	5
BRCA_TCGA-AO-A125	8	1	1	4	4	4	0	1	0	2	8	8	4	0
BRCA_TCGA-AO-A126	6	0	0	3	1	0	0	0	0	3	0	8	4	0
BRCA_TCGA-AO-A128	280	3	114	27	126	110	0	158	9	331	0	0	30	22
BRCA_TCGA-AO-A129	10	3	2	2	5	9	1	6	0	9	6	50	34	7
BRCA_TCGA-AO-A12A	4	0	3	0	0	0	0	0	3	1	2	2	4	0
BRCA_TCGA-AO-A12B	8	0	0	0	0	2	2	1	1	1	0	7	1	0
BRCA_TCGA-AO-A12D	4	0	0	10	0	0	2	0	6	0	17	6	28	0
BRCA_TCGA-AO-A12E	7	0	4	2	0	0	0	0	1	2	5	10	2	0
BRCA_TCGA-AO-A12F	5	1	9	2	0	0	5	0	5	1	2	10	0	0
BRCA_TCGA-AO-A12G	11	0	0	1	5	0	0	7	0	0	3	7	8	0
BRCA_TCGA-AO-A12H	7	0	0	2	4	0	0	2	2	2	2	9	0	0
BRCA_TCGA-AO-A1KO	0	0	0	1	1	0	0	1	0	2	0	5	0	0
BRCA_TCGA-AO-A1KR	6	1	0	3	5	0	0	0	13	10	1	38	12	0
BRCA_TCGA-AO-A1KT	8	0	1	3	1	1	0	9	5	4	1	15	3	0
BRCA_TCGA-AQ-A04H	26	3	6	4	4	0	0	8	0	0	5	17	6	2
BRCA_TCGA-AQ-A0Y5	14	0	4	6	0	2	0	3	0	2	3	16	19	1
BRCA_TCGA-AQ-A1H2	8	0	1	3	3	0	0	2	0	2	0	11	2	2
BRCA_TCGA-AQ-A1H3	16	0	0	0	0	0	0	2	0	0	4	3	0	2
BRCA_TCGA-AQ-A54O	4	1	1	0	3	0	0	0	1	2	2	5	4	2
BRCA_TCGA-AQ-A7U7	4	0	5	9	7	0	1	0	0	3	2	4	58	3
BRCA_TCGA-AR-A0TP	2	0	0	1	6	1	0	3	6	7	2	34	7	2
BRCA_TCGA-AR-A0TQ	2	1	1	2	1	0	0	0	17	0	5	8	11	1
BRCA_TCGA-AR-A0TR	4	0	1	3	4	0	0	0	15	7	4	3	1	0
BRCA_TCGA-AR-A0TS	6	1	5	0	0	6	0	0	6	4	14	33	12	3
BRCA_TCGA-AR-A0TT	6	0	8	5	1	0	0	8	0	1	16	14	14	2
BRCA_TCGA-AR-A0TU	7	6	5	1	4	3	0	4	0	0	5	41	12	2
BRCA_TCGA-AR-A0TV	15	2	0	1	9	0	0	6	0	0	16	23	6	1
BRCA_TCGA-AR-A0TW	15	4	0	4	6	2	0	1	2	4	0	25	4	0
BRCA_TCGA-AR-A0TX	0	1	3	39	2	0	0	2	9	0	19	0	332	0
BRCA_TCGA-AR-A0TZ	7	4	3	9	5	0	3	0	0	2	0	10	24	0
BRCA_TCGA-AR-A0U0	2	3	2	2	5	0	3	0	2	0	7	13	9	2
BRCA_TCGA-AR-A0U1	0	2	2	1	0	0	0	8	13	12	4	53	12	2
BRCA_TCGA-AR-A0U2	7	0	11	2	4	2	1	0	1	2	6	20	0	0
BRCA_TCGA-AR-A0U3	3	3	8	3	3	1	0	1	0	0	7	11	0	0
BRCA_TCGA-AR-A0U4	3	9	4	5	6	4	0	6	0	6	16	82	56	4
BRCA_TCGA-AR-A1AH	5	9	9	2	4	7	1	16	0	1	3	49	10	4
BRCA_TCGA-AR-A1AI	7	1	5	8	7	2	0	5	0	1	17	17	19	0
BRCA_TCGA-AR-A1AJ	11	0	0	4	4	0	0	2	0	3	2	0	27	0
BRCA_TCGA-AR-A1AK	7	2	3	7	0	0	2	3	0	1	13	13	31	0
BRCA_TCGA-AR-A1AL	2	0	2	1	0	0	0	0	4	8	3	4	6	0
BRCA_TCGA-AR-A1AN	11	0	2	2	2	0	0	2	0	0	0	8	4	0
BRCA_TCGA-AR-A1AO	4	1	4	7	1	0	3	0	15	3	6	49	25	4
BRCA_TCGA-AR-A1AP	10	1	5	5	0	0	0	3	3	0	8	5	10	1
BRCA_TCGA-AR-A1AQ	5	0	2	1	6	0	0	0	5	7	3	9	3	0
BRCA_TCGA-AR-A1AR	5	3	7	0	0	0	0	1	0	1	11	23	8	4
BRCA_TCGA-AR-A1AS	0	1	6	4	5	0	1	1	1	0	3	6	13	0
BRCA_TCGA-AR-A1AT	2	0	2	1	0	0	2	0	7	4	3	10	1	0
BRCA_TCGA-AR-A1AU	6	0	2	0	0	0	1	2	0	1	3	8	2	1
BRCA_TCGA-AR-A1AV	8	2	7	3	0	0	5	0	0	4	7	9	4	0
BRCA_TCGA-AR-A1AW	3	1	4	0	3	0	2	1	6	6	7	6	2	0
BRCA_TCGA-AR-A1AX	2	0	2	5	2	0	1	0	0	2	8	9	1	0
BRCA_TCGA-AR-A1AY	11	1	0	3	7	0	1	0	4	8	10	15	12	0
BRCA_TCGA-AR-A24H	9	10	2	0	10	0	2	3	0	6	20	63	27	0
BRCA_TCGA-AR-A24K	4	0	0	2	4	4	0	4	0	0	3	13	0	0
BRCA_TCGA-AR-A24L	0	0	3	0	2	0	1	4	0	0	6	30	6	1
BRCA_TCGA-AR-A24M	2	0	2	0	1	1	1	0	5	5	0	7	1	0
BRCA_TCGA-AR-A24N	9	0	2	0	4	1	0	3	6	0	10	5	6	1
BRCA_TCGA-AR-A24O	5	1	0	0	3	0	0	0	4	1	3	3	1	1
BRCA_TCGA-AR-A24P	2	0	2	3	1	0	0	1	0	0	3	7	0	0
BRCA_TCGA-AR-A24Q	0	6	7	5	20	4	8	4	11	9	18	99	39	2
BRCA_TCGA-AR-A24R	6	0	3	1	1	2	0	0	0	6	5	1	1	0
BRCA_TCGA-AR-A24S	10	1	2	2	0	2	0	10	2	0	10	6	11	1
BRCA_TCGA-AR-A24T	7	0	0	2	0	0	1	0	0	2	3	7	2	0
BRCA_TCGA-AR-A24U	4	0	4	3	0	0	2	0	0	0	6	6	19	0
BRCA_TCGA-AR-A24V	5	0	3	3	0	0	0	0	1	3	1	8	4	0
BRCA_TCGA-AR-A24W	0	0	1	1	3	0	0	0	0	0	4	5	0	0
BRCA_TCGA-AR-A24X	4	0	3	4	0	0	0	2	0	4	2	13	0	2
BRCA_TCGA-AR-A24Z	8	0	1	2	5	0	0	0	2	2	3	27	6	0
BRCA_TCGA-AR-A250	20	4	7	13	4	4	0	2	0	1	14	25	61	0
BRCA_TCGA-AR-A251	0	5	6	0	0	3	0	0	16	18	24	96	34	3
BRCA_TCGA-AR-A252	4	0	1	0	1	0	0	0	5	4	4	0	0	0
BRCA_TCGA-AR-A254	9	1	1	4	1	0	0	0	4	0	5	12	5	0
BRCA_TCGA-AR-A255	5	6	0	6	5	0	0	0	10	6	2	18	31	0
BRCA_TCGA-AR-A256	0	5	7	6	7	4	5	5	2	9	32	107	28	7
BRCA_TCGA-AR-A2LE	0	10	1	37	0	0	9	0	43	0	37	0	257	0
BRCA_TCGA-AR-A2LH	0	1	4	7	0	0	1	0	12	0	10	0	36	0
BRCA_TCGA-AR-A2LK	10	0	3	2	0	6	1	3	2	0	9	8	4	0
BRCA_TCGA-AR-A2LL	14	3	0	1	1	0	0	1	0	1	8	8	0	0
BRCA_TCGA-AR-A2LM	1	0	0	2	0	0	0	0	0	3	2	9	0	0
BRCA_TCGA-AR-A2LN	0	0	2	6	0	0	2	2	11	0	15	0	16	0
BRCA_TCGA-AR-A2LO	3	0	1	1	0	0	0	0	0	0	1	6	3	2
BRCA_TCGA-AR-A2LQ	3	0	0	0	0	0	0	0	0	3	4	3	0	0
BRCA_TCGA-AR-A2LR	4	1	7	3	2	1	6	1	0	0	14	30	1	0
BRCA_TCGA-AR-A5QM	6	0	2	2	0	4	0	0	0	3	6	13	0	0
BRCA_TCGA-AR-A5QN	6	0	6	4	2	0	0	3	8	2	13	2	3	0
BRCA_TCGA-AR-A5QP	7	1	1	2	3	0	0	6	0	0	7	4	3	0
BRCA_TCGA-AR-A5QQ	6	1	1	1	8	0	0	10	5	8	10	31	11	4
BRCA_TCGA-B6-A0I1	18	0	0	5	4	0	2	4	0	0	4	37	6	0
BRCA_TCGA-B6-A0IH	3	0	10	4	1	0	1	3	4	0	7	7	1	0
BRCA_TCGA-B6-A0RH	7	0	0	2	5	0	4	2	0	0	3	7	15	0
BRCA_TCGA-B6-A0RL	11	1	2	4	9	0	0	0	9	0	10	6	15	2
BRCA_TCGA-B6-A0RM	7	0	2	2	4	0	3	3	2	0	3	5	5	0
BRCA_TCGA-B6-A0RN	8	0	1	2	5	2	0	2	1	2	0	7	2	1
BRCA_TCGA-B6-A0RO	0	0	1	6	7	1	0	0	0	5	11	8	3	1
BRCA_TCGA-B6-A0RP	0	0	4	0	0	0	0	1	1	2	12	10	0	0
BRCA_TCGA-B6-A0RQ	2	1	3	3	0	0	2	2	2	4	17	4	14	2
BRCA_TCGA-B6-A0RT	1	1	2	2	0	0	4	0	12	3	3	27	17	0
BRCA_TCGA-B6-A0RU	2	1	5	6	0	1	0	1	10	7	1	17	5	2
BRCA_TCGA-B6-A0RV	7	3	0	4	0	0	0	3	0	0	0	0	50	0
BRCA_TCGA-B6-A0WS	1	1	1	0	1	0	3	2	0	5	1	0	3	0
BRCA_TCGA-B6-A0WT	4	1	1	3	0	0	1	0	3	8	1	0	0	0
BRCA_TCGA-B6-A0WV	4	0	0	0	6	0	0	2	0	2	8	8	4	3
BRCA_TCGA-B6-A0WW	4	1	1	3	0	0	4	0	10	5	2	8	9	0
BRCA_TCGA-B6-A0WX	9	1	0	3	4	0	0	4	3	3	0	17	1	0
BRCA_TCGA-B6-A0WY	2	0	5	3	2	2	0	3	0	1	0	10	7	0
BRCA_TCGA-B6-A0WZ	0	1	2	7	1	0	2	0	8	0	11	0	63	0
BRCA_TCGA-B6-A0X0	2	1	0	2	0	0	0	0	7	2	1	9	1	0
BRCA_TCGA-B6-A0X1	0	1	1	7	7	1	0	7	0	7	18	26	17	0
BRCA_TCGA-B6-A0X4	2	2	0	6	0	0	0	0	2	0	5	5	0	0
BRCA_TCGA-B6-A0X5	0	6	2	8	2	0	4	4	0	5	0	12	5	0
BRCA_TCGA-B6-A0X7	4	0	0	2	3	0	0	0	3	1	3	3	4	0
BRCA_TCGA-B6-A1KN	6	6	4	0	6	2	1	2	0	4	15	22	4	0
BRCA_TCGA-B6-A2IU	1	0	7	9	0	0	1	1	9	4	10	0	12	0
BRCA_TCGA-B6-A401	2	0	5	2	3	0	0	0	0	1	6	8	0	1
BRCA_TCGA-B6-A409	9	0	3	3	2	0	1	0	2	5	11	12	6	2
BRCA_TCGA-B6-A40B	1	1	5	1	0	0	0	0	10	4	16	13	15	0
BRCA_TCGA-B6-A40C	17	3	0	0	3	0	1	2	3	1	6	13	5	0
BRCA_TCGA-BH-A0AU	4	0	1	0	3	0	0	0	4	0	0	7	3	1
BRCA_TCGA-BH-A0AV	0	1	3	2	6	1	3	5	0	6	19	28	13	0
BRCA_TCGA-BH-A0AY	7	2	0	6	3	0	1	1	0	0	6	14	6	0
BRCA_TCGA-BH-A0AZ	0	1	0	1	4	0	4	0	8	6	3	21	19	3
BRCA_TCGA-BH-A0B0	0	1	6	15	0	0	2	0	4	0	9	0	62	0
BRCA_TCGA-BH-A0B3	3	1	1	1	0	2	0	0	1	0	0	6	3	0
BRCA_TCGA-BH-A0B6	0	16	7	103	0	0	7	0	81	0	108	0	966	2
BRCA_TCGA-BH-A0B7	4	0	4	6	0	0	0	0	0	0	10	6	8	4
BRCA_TCGA-BH-A0B8	0	1	1	1	6	0	1	0	1	0	10	10	3	0
BRCA_TCGA-BH-A0BA	3	0	2	1	3	0	3	0	3	3	0	5	6	0
BRCA_TCGA-BH-A0BC	7	0	4	3	1	0	4	0	0	1	8	8	9	0
BRCA_TCGA-BH-A0BF	4	0	2	2	3	0	0	0	0	5	2	8	6	1
BRCA_TCGA-BH-A0BG	2	0	4	0	0	2	0	1	0	1	5	22	8	0
BRCA_TCGA-BH-A0BJ	1	0	1	1	1	0	1	1	1	0	1	9	0	0
BRCA_TCGA-BH-A0BL	9	3	2	3	0	0	1	1	2	2	4	39	2	1
BRCA_TCGA-BH-A0BM	0	1	1	0	1	0	1	0	0	0	8	4	3	0
BRCA_TCGA-BH-A0BO	5	0	0	2	5	0	0	0	0	13	1	1	4	0
