Samples	SBS96A	SBS96B	SBS96C	SBS96D
RNF168_0_multinomial_train1.49	1.49E-03	0.00E+00	1.78E-03	8.50E-04
RNF168_0_multinomial_train1.50	2.11E-04	0.00E+00	1.86E-22	1.41E-04
EXO1_0_multinomial_train1.38	2.15E-04	0.00E+00	1.05E-63	1.32E-05
RNF168_0_multinomial_train1.51	9.80E-04	0.00E+00	7.83E-04	6.87E-139
RNF168_0_multinomial_train1.52	1.14E-03	0.00E+00	1.76E-03	9.94E-04
EXO1_0_multinomial_train1.39	1.64E-04	0.00E+00	2.69E-155	5.92E-35
EXO1_0_multinomial_train1.40	1.92E-04	0.00E+00	0.00E+00	2.15E-122
RNF168_0_multinomial_train1.53	1.60E-03	0.00E+00	1.40E-03	3.75E-04
EXO1_0_multinomial_train1.41	1.49E-04	3.20E-147	0.00E+00	0.00E+00
EXO1_0_multinomial_train1.42	1.98E-04	0.00E+00	1.56E-127	0.00E+00
RNF168_0_multinomial_train1.54	1.86E-03	0.00E+00	1.53E-03	3.78E-04
OGG1_0_multinomial_train1	0.00E+00	0.00E+00	1.14E-03	6.00E-04
UNG_0_multinomial_train1	1.55E-03	1.47E-03	0.00E+00	5.26E-04
UNG_0_multinomial_train1.1	1.11E-03	7.95E-04	0.00E+00	4.01E-04
UNG_0_multinomial_train1.2	1.07E-03	8.77E-04	0.00E+00	4.44E-04
OGG1_0_multinomial_train1.1	0.00E+00	4.45E-03	2.38E-35	1.12E-03
UNG_0_multinomial_train1.3	1.05E-03	7.34E-04	0.00E+00	4.11E-04
OGG1_0_multinomial_train1.2	0.00E+00	2.53E-03	3.42E-138	8.75E-04
OGG1_0_multinomial_train1.3	0.00E+00	0.00E+00	1.29E-79	8.17E-04
UNG_0_multinomial_train1.4	9.80E-04	8.65E-04	3.84E-39	4.00E-04
UNG_0_multinomial_train1.5	2.70E-03	5.12E-03	0.00E+00	1.31E-03
OGG1_0_multinomial_train1.4	0.00E+00	0.00E+00	5.18E-109	8.16E-04
OGG1_0_multinomial_train1.5	0.00E+00	2.69E-03	1.48E-127	9.01E-04
UNG_0_multinomial_train1.6	1.82E-02	2.00E-02	0.00E+00	4.55E-04
UNG_0_multinomial_train1.7	1.25E-03	9.04E-04	2.31E-131	3.68E-04
UNG_0_multinomial_train1.8	1.08E-03	1.42E-03	0.00E+00	4.85E-04
OGG1_0_multinomial_train1.6	0.00E+00	1.64E-03	5.29E-84	8.07E-04
UNG_0_multinomial_train1.9	1.10E-03	1.18E-03	0.00E+00	4.60E-04
OGG1_0_multinomial_train1.7	0.00E+00	0.00E+00	2.85E-43	8.18E-04
UNG_0_multinomial_train1.10	1.01E-03	1.48E-03	0.00E+00	5.63E-04
OGG1_0_multinomial_train1.8	6.34E-03	0.00E+00	1.87E-72	1.49E-03
UNG_0_multinomial_train1.11	9.85E-04	8.76E-04	8.75E-22	4.00E-04
OGG1_0_multinomial_train1.9	0.00E+00	0.00E+00	1.93E-21	7.85E-04
OGG1_0_multinomial_train1.10	0.00E+00	3.95E-144	3.88E-03	2.19E-03
OGG1_0_multinomial_train1.11	0.00E+00	0.00E+00	3.78E-87	7.92E-04
UNG_0_multinomial_train1.12	1.38E-02	2.12E-02	0.00E+00	3.30E-03
UNG_0_multinomial_train1.13	1.01E-03	9.63E-04	0.00E+00	4.27E-04
UNG_0_multinomial_train1.14	1.32E-02	1.81E-02	0.00E+00	2.10E-03
OGG1_0_multinomial_train1.12	0.00E+00	0.00E+00	9.89E-128	8.03E-04
OGG1_0_multinomial_train1.13	0.00E+00	3.25E-03	2.98E-26	9.23E-04
UNG_0_multinomial_train1.15	1.09E-03	9.61E-04	2.77E-03	1.07E-03
UNG_0_multinomial_train1.16	1.11E-03	8.05E-04	0.00E+00	3.99E-04
UNG_0_multinomial_train1.17	1.04E-03	8.29E-04	0.00E+00	4.20E-04
OGG1_0_multinomial_train1.14	0.00E+00	0.00E+00	1.23E-03	6.45E-04
UNG_0_multinomial_train1.18	9.94E-04	9.33E-04	8.11E-32	4.20E-04
OGG1_0_multinomial_train1.15	2.19E-130	3.96E-03	6.98E-08	9.37E-04
UNG_0_multinomial_train1.19	1.03E-03	7.69E-04	0.00E+00	3.97E-04
OGG1_0_multinomial_train1.16	0.00E+00	2.30E-03	2.02E-32	8.64E-04
UNG_0_multinomial_train1.20	1.10E-03	8.88E-04	0.00E+00	4.50E-04
UNG_0_multinomial_train1.21	1.12E-03	7.67E-04	0.00E+00	4.55E-04
OGG1_0_multinomial_train1.17	0.00E+00	2.33E-148	1.51E-87	8.00E-04
UNG_0_multinomial_train1.22	1.06E-03	1.35E-03	0.00E+00	4.61E-04
UNG_0_multinomial_train1.23	1.01E-03	1.27E-03	8.03E-24	4.48E-04
UNG_0_multinomial_train1.24	1.03E-03	7.86E-04	0.00E+00	4.12E-04
OGG1_0_multinomial_train1.18	6.37E-87	1.00E-84	5.30E-03	3.21E-03
UNG_0_multinomial_train1.25	1.34E-03	9.02E-04	7.58E-04	5.34E-04
OGG1_0_multinomial_train1.19	0.00E+00	3.95E-03	3.37E-48	9.28E-04
UNG_0_multinomial_train1.26	3.31E-03	3.03E-03	0.00E+00	6.69E-04
OGG1_0_multinomial_train1.20	3.08E-120	3.50E-03	3.18E-03	1.44E-03
UNG_0_multinomial_train1.27	1.03E-03	1.03E-03	0.00E+00	4.80E-04
OGG1_0_multinomial_train1.21	0.00E+00	3.51E-03	3.52E-03	2.77E-03
OGG1_0_multinomial_train1.22	0.00E+00	0.00E+00	4.38E-21	8.09E-04
UNG_0_multinomial_train1.28	3.85E-03	6.58E-03	0.00E+00	1.35E-03
UNG_0_multinomial_train1.29	1.06E-03	7.97E-04	1.48E-103	3.86E-04
OGG1_0_multinomial_train1.23	0.00E+00	0.00E+00	1.57E-56	7.96E-04
OGG1_0_multinomial_train1.24	0.00E+00	3.23E-03	1.64E-38	9.27E-04
OGG1_0_multinomial_train1.25	1.53E-04	3.57E-27	9.42E-04	8.64E-04
OGG1_0_multinomial_train1.26	0.00E+00	0.00E+00	3.84E-03	2.13E-03
UNG_0_multinomial_train1.30	1.07E-03	7.99E-04	0.00E+00	4.02E-04
OGG1_0_multinomial_train1.27	0.00E+00	2.74E-155	2.32E-27	7.93E-04
OGG1_0_multinomial_train1.28	2.25E-154	3.76E-03	4.65E-25	9.68E-04
UNG_0_multinomial_train1.31	1.00E-03	8.91E-04	3.61E-04	2.66E-04
UNG_0_multinomial_train1.32	1.07E-03	7.94E-04	0.00E+00	4.19E-04
UNG_0_multinomial_train1.33	1.43E-03	2.53E-03	0.00E+00	7.07E-04
OGG1_0_multinomial_train1.29	4.13E-113	4.26E-68	1.42E-03	1.13E-03
OGG1_0_multinomial_train1.30	0.00E+00	4.06E-03	9.81E-07	1.12E-03
UNG_0_multinomial_train1.34	1.10E-03	7.35E-04	0.00E+00	4.24E-04
OGG1_0_multinomial_train1.31	0.00E+00	3.78E-03	2.66E-14	9.60E-04
UNG_0_multinomial_train1.35	1.56E-03	1.57E-03	0.00E+00	4.97E-04
UNG_0_multinomial_train1.36	1.01E-03	1.22E-03	0.00E+00	4.81E-04
UNG_0_multinomial_train1.37	1.86E-02	2.27E-02	0.00E+00	1.69E-03
OGG1_0_multinomial_train1.32	0.00E+00	4.06E-03	2.63E-71	1.08E-03
UNG_0_multinomial_train1.38	1.03E-03	9.18E-04	0.00E+00	4.43E-04
OGG1_0_multinomial_train1.33	2.00E-89	2.91E-03	2.27E-03	1.33E-03
OGG1_0_multinomial_train1.34	1.29E-149	2.40E-03	1.85E-37	9.02E-04
OGG1_0_multinomial_train1.35	0.00E+00	3.78E-03	5.50E-14	9.28E-04
OGG1_0_multinomial_train1.36	0.00E+00	0.00E+00	5.72E-79	8.12E-04
OGG1_0_multinomial_train1.37	0.00E+00	0.00E+00	2.89E-05	8.08E-04
OGG1_0_multinomial_train1.38	0.00E+00	0.00E+00	3.53E-49	8.11E-04
UNG_0_multinomial_train1.39	1.26E-03	1.35E-03	0.00E+00	4.81E-04
OGG1_0_multinomial_train1.39	0.00E+00	4.85E-04	9.24E-10	7.88E-04
UNG_0_multinomial_train1.40	6.56E-02	7.16E-02	0.00E+00	5.25E-02
OGG1_0_multinomial_train1.40	0.00E+00	2.69E-03	3.75E-03	2.10E-03
OGG1_0_multinomial_train1.41	0.00E+00	0.00E+00	1.81E-103	8.01E-04
UNG_0_multinomial_train1.41	2.42E-03	4.20E-03	0.00E+00	9.85E-04
OGG1_0_multinomial_train1.42	0.00E+00	0.00E+00	2.24E-30	8.08E-04
UNG_0_multinomial_train1.42	1.46E-02	2.07E-02	0.00E+00	2.68E-03
OGG1_0_multinomial_train1.43	0.00E+00	0.00E+00	9.96E-29	7.78E-04
OGG1_0_multinomial_train1.44	4.58E-20	2.22E-03	2.65E-09	9.00E-04
OGG1_0_multinomial_train1.45	0.00E+00	0.00E+00	4.82E-03	2.82E-03
OGG1_0_multinomial_train1.46	1.89E-115	2.78E-04	1.09E-03	8.64E-04
UNG_0_multinomial_train1.43	1.14E-03	7.92E-04	0.00E+00	3.96E-04
OGG1_0_multinomial_train1.47	9.50E-121	3.57E-49	1.24E-15	8.10E-04
OGG1_0_multinomial_train1.48	0.00E+00	4.46E-03	1.91E-03	6.74E-04
OGG1_0_multinomial_train1.49	2.87E-124	1.56E-03	2.08E-03	1.01E-03
OGG1_0_multinomial_train1.50	0.00E+00	3.79E-03	7.24E-60	9.57E-04
UNG_0_multinomial_train1.44	1.13E-03	7.17E-04	0.00E+00	4.38E-04
OGG1_0_multinomial_train1.51	0.00E+00	4.70E-03	4.53E-105	1.00E-03
OGG1_0_multinomial_train1.52	0.00E+00	0.00E+00	1.95E-76	8.02E-04
ATP2B4_0_multinomial_train1	4.63E-03	2.58E-03	5.69E-03	3.61E-03
ATP2B4_1_multinomial_train1	6.66E-03	2.88E-03	9.56E-03	3.22E-107
ATP2B4_0_multinomial_train1.1	4.02E-03	4.26E-03	8.11E-03	0.00E+00
ATP2B4_1_multinomial_train1.1	7.48E-03	1.65E-03	8.93E-03	3.78E-03
ATP2B4_1_multinomial_train1.2	9.07E-04	2.50E-03	8.67E-03	1.32E-02
ATP2B4_1_multinomial_train1.3	6.45E-03	3.13E-03	9.70E-03	0.00E+00
ATP2B4_0_multinomial_train1.2	4.73E-03	4.85E-35	7.30E-03	1.91E-79
ATP2B4_1_multinomial_train1.4	0.00E+00	2.85E-03	1.22E-02	1.59E-02
ATP2B4_0_multinomial_train1.3	3.66E-03	3.81E-03	7.82E-03	0.00E+00
ATP2B4_0_multinomial_train1.4	4.54E-03	2.84E-03	8.03E-03	0.00E+00
ATP2B4_0_multinomial_train1.5	4.83E-03	2.82E-03	8.20E-03	3.65E-50
ATP2B4_0_multinomial_train1.6	4.16E-03	2.86E-03	7.77E-03	0.00E+00
ATP2B4_1_multinomial_train1.5	2.96E-03	1.53E-03	1.49E-03	4.89E-03
ATP2B4_0_multinomial_train1.7	4.74E-03	2.27E-03	3.51E-03	3.54E-03
ATP2B4_1_multinomial_train1.6	0.00E+00	2.49E-03	8.99E-04	5.50E-03
ATP2B4_1_multinomial_train1.7	6.21E-04	3.27E-03	4.90E-03	1.03E-02
ATP2B4_1_multinomial_train1.8	7.07E-03	2.85E-03	9.76E-03	0.00E+00
ATP2B4_1_multinomial_train1.9	1.91E-03	1.97E-03	8.25E-03	1.25E-02
ATP2B4_1_multinomial_train1.10	2.67E-03	2.93E-03	4.85E-03	1.01E-02
ATP2B4_1_multinomial_train1.11	7.91E-03	3.08E-03	1.09E-02	2.30E-144
ATP2B4_1_multinomial_train1.12	8.28E-03	3.15E-03	1.11E-02	5.96E-71
ATP2B4_1_multinomial_train1.13	3.59E-03	2.24E-03	4.10E-03	4.62E-03
ATP2B4_0_multinomial_train1.8	4.23E-03	4.39E-03	8.04E-03	0.00E+00
ATP2B4_1_multinomial_train1.14	5.97E-03	1.90E-03	2.61E-03	4.75E-03
ATP2B4_1_multinomial_train1.15	3.13E-03	2.96E-03	1.82E-03	8.06E-03
ATP2B4_0_multinomial_train1.9	4.86E-03	2.66E-03	3.64E-03	3.65E-03
ATP2B4_0_multinomial_train1.10	5.61E-03	6.82E-04	8.23E-03	0.00E+00
ATP2B4_0_multinomial_train1.11	4.53E-03	2.74E-03	7.92E-03	0.00E+00
ATP2B4_1_multinomial_train1.16	3.17E-76	3.41E-03	1.25E-02	1.62E-02
ATP2B4_0_multinomial_train1.12	3.70E-03	3.91E-03	7.31E-03	0.00E+00
ATP2B4_0_multinomial_train1.13	3.41E-03	4.80E-03	7.23E-03	0.00E+00
ATP2B4_0_multinomial_train1.14	5.60E-03	2.84E-03	8.76E-03	1.60E-101
ATP2B4_0_multinomial_train1.15	4.53E-03	3.21E-03	8.42E-03	5.89E-108
ATP2B4_1_multinomial_train1.17	9.78E-03	2.97E-03	1.14E-02	0.00E+00
ATP2B4_1_multinomial_train1.18	5.68E-21	2.59E-03	9.45E-04	5.59E-03
ATP2B4_1_multinomial_train1.19	5.09E-03	7.99E-04	2.20E-03	4.27E-03
ATP2B4_1_multinomial_train1.20	5.72E-03	2.94E-03	7.73E-03	5.56E-03
ATP2B4_0_multinomial_train1.16	4.53E-03	2.48E-03	5.80E-03	3.22E-03
ATP2B4_1_multinomial_train1.21	7.33E-03	2.87E-03	1.01E-02	2.37E-11
ATP2B4_1_multinomial_train1.22	3.91E-03	1.81E-03	2.64E-03	8.60E-03
ATP2B4_0_multinomial_train1.17	4.76E-03	2.92E-03	8.26E-03	0.00E+00
ATP2B4_0_multinomial_train1.18	5.19E-03	1.59E-03	1.50E-03	7.62E-03
ATP2B4_1_multinomial_train1.23	4.30E-29	2.32E-03	8.61E-04	5.11E-03
ATP2B4_1_multinomial_train1.24	6.36E-03	3.02E-03	9.50E-03	3.48E-84
ATP2B4_0_multinomial_train1.19	5.17E-03	2.58E-03	1.83E-03	5.60E-03
ATP2B4_1_multinomial_train1.25	7.19E-03	2.79E-03	9.81E-03	0.00E+00
ATP2B4_0_multinomial_train1.20	5.24E-03	3.00E-03	8.72E-03	2.24E-03
ATP2B4_0_multinomial_train1.21	4.97E-03	9.56E-04	2.67E-03	3.77E-03
ATP2B4_0_multinomial_train1.22	4.56E-03	2.22E-03	3.36E-03	3.43E-03
ATP2B4_0_multinomial_train1.23	3.89E-03	4.36E-03	7.52E-03	1.42E-115
ATP2B4_0_multinomial_train1.24	4.10E-03	3.26E-03	7.81E-03	0.00E+00
ATP2B4_1_multinomial_train1.26	8.85E-03	1.84E-03	1.09E-02	0.00E+00
ATP2B4_0_multinomial_train1.25	4.70E-03	2.65E-03	1.59E-03	5.77E-03
ATP2B4_1_multinomial_train1.27	4.18E-03	6.29E-04	3.48E-03	9.32E-03
ATP2B4_0_multinomial_train1.26	3.60E-03	2.53E-03	7.30E-03	0.00E+00
ATP2B4_1_multinomial_train1.28	5.31E-03	3.51E-03	1.04E-02	1.16E-49
ATP2B4_0_multinomial_train1.27	3.97E-03	2.50E-03	7.27E-03	0.00E+00
ATP2B4_1_multinomial_train1.29	7.07E-03	2.82E-03	9.76E-03	0.00E+00
ATP2B4_0_multinomial_train1.28	3.96E-03	3.78E-03	7.43E-03	7.91E-27
ATP2B4_0_multinomial_train1.29	5.78E-03	8.90E-04	1.59E-03	7.81E-03
ATP2B4_0_multinomial_train1.30	4.76E-03	1.19E-03	2.97E-03	3.55E-03
ATP2B4_0_multinomial_train1.31	3.75E-03	2.37E-03	7.05E-03	0.00E+00
ATP2B4_1_multinomial_train1.30	5.79E-03	3.55E-03	9.26E-03	0.00E+00
ATP2B4_1_multinomial_train1.31	5.71E-04	5.07E-03	9.47E-03	1.23E-03
ATP2B4_1_multinomial_train1.32	7.93E-03	1.07E-03	9.84E-03	7.63E-78
ATP2B4_0_multinomial_train1.32	3.84E-03	2.26E-03	7.31E-03	1.48E-50
ATP2B4_0_multinomial_train1.33	5.34E-03	3.75E-03	9.14E-03	2.62E-74
ATP2B4_0_multinomial_train1.34	4.34E-03	2.84E-03	7.86E-03	2.79E-48
ATP2B4_0_multinomial_train1.35	3.75E-03	2.49E-03	7.09E-03	0.00E+00
ATP2B4_1_multinomial_train1.33	6.88E-03	3.06E-03	9.97E-03	4.45E-21
ATP2B4_1_multinomial_train1.34	4.12E-03	2.68E-03	9.83E-04	7.03E-03
ATP2B4_1_multinomial_train1.35	6.35E-03	2.85E-03	2.57E-03	6.93E-03
ATP2B4_1_multinomial_train1.36	9.79E-03	2.85E-03	1.11E-02	1.72E-16
ATP2B4_0_multinomial_train1.36	5.24E-03	4.90E-104	3.06E-03	3.48E-03
ATP2B4_0_multinomial_train1.37	3.43E-03	4.23E-03	7.12E-03	0.00E+00
ATP2B4_1_multinomial_train1.37	1.72E-150	3.29E-03	1.30E-02	1.66E-02
ATP2B4_1_multinomial_train1.38	7.78E-03	2.86E-03	1.03E-02	0.00E+00
ATP2B4_1_multinomial_train1.39	3.69E-03	2.93E-03	8.57E-04	6.94E-03
ATP2B4_1_multinomial_train1.40	8.68E-05	9.77E-04	1.18E-02	1.51E-02
ATP2B4_1_multinomial_train1.41	3.45E-03	2.86E-03	1.72E-03	7.94E-03
ATP2B4_1_multinomial_train1.42	3.29E-19	1.67E-03	1.40E-02	1.68E-02
ATP2B4_0_multinomial_train1.38	4.43E-03	2.67E-03	7.79E-03	0.00E+00
ATP2B4_0_multinomial_train1.39	3.90E-03	3.86E-03	7.31E-03	1.41E-120
ATP2B4_0_multinomial_train1.40	4.45E-03	2.58E-03	9.01E-04	6.86E-03
ATP2B4_1_multinomial_train1.43	3.98E-03	3.04E-03	4.49E-03	1.05E-02
ATP2B4_0_multinomial_train1.41	4.08E-03	4.32E-03	7.90E-03	0.00E+00
ATP2B4_0_multinomial_train1.42	6.42E-03	1.06E-09	9.10E-04	7.01E-03
ATP2B4_0_multinomial_train1.43	4.56E-03	2.15E-03	7.89E-03	0.00E+00
ATP2B4_0_multinomial_train1.44	3.44E-03	3.87E-03	6.71E-03	0.00E+00
ATP2B4_1_multinomial_train1.44	8.93E-03	5.16E-39	8.44E-03	5.92E-03
ATP2B4_0_multinomial_train1.45	4.34E-03	2.13E-03	6.37E-03	3.00E-03
ATP2B4_1_multinomial_train1.45	3.51E-03	7.18E-04	6.91E-03	1.17E-02
ATP2B4_0_multinomial_train1.46	5.34E-03	3.22E-03	8.96E-03	0.00E+00
ATP2B4_0_multinomial_train1.47	4.10E-03	2.48E-03	7.32E-03	0.00E+00
ATP2B4_0_multinomial_train1.48	4.51E-03	2.99E-03	8.13E-03	0.00E+00
ATP2B4_1_multinomial_train1.46	7.01E-03	3.24E-03	1.02E-02	0.00E+00
ATP2B4_1_multinomial_train1.47	8.01E-03	3.06E-03	1.08E-02	0.00E+00
ATP2B4_1_multinomial_train1.48	4.71E-03	2.21E-03	2.69E-03	4.24E-03
PMS1_0_multinomial_train1	0.00E+00	3.03E-02	4.74E-03	1.67E-07
MSH6_1_multinomial_train1	0.00E+00	1.48E-04	4.20E-54	1.92E-04
