Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V	SBS96W	SBS96X
BRCA_TCGA-A1-A0SO	15	4	5	2	14	5	0	12	3	5	13	4	23	32	6	11	8	19	7	14	10	71	37	33
BRCA_TCGA-A1-A0SP	0	6	0	4	2	1	0	1	1	1	9	1	2	0	14	0	1	0	0	12	0	12	3	0
BRCA_TCGA-A2-A04N	0	2	5	4	3	0	0	4	0	2	2	0	6	4	2	5	2	2	1	0	2	3	3	1
BRCA_TCGA-A2-A04R	5	4	3	1	4	1	2	6	2	1	0	1	6	12	3	1	0	8	3	5	4	19	8	3
BRCA_TCGA-A2-A04U	0	3	4	2	8	0	2	1	2	3	0	0	1	0	3	0	0	3	3	9	0	13	8	2
BRCA_TCGA-A2-A04W	3	7	18	6	0	0	0	0	3	5	6	0	4	0	18	36	0	73	1	4	1	0	0	2
BRCA_TCGA-A2-A0CK	0	3	1	4	4	0	0	1	0	1	0	0	1	2	2	6	0	0	0	0	0	0	0	2
BRCA_TCGA-A2-A0CL	0	4	13	10	8	2	0	1	0	3	0	1	0	0	1	62	0	84	1	0	10	0	0	0
BRCA_TCGA-A2-A0CR	1	1	10	3	3	0	2	0	3	0	1	0	0	0	9	91	0	86	0	0	0	0	0	0
BRCA_TCGA-A2-A0CS	0	6	2	4	5	0	0	0	0	2	4	1	1	1	0	1	5	0	0	0	1	3	1	11
BRCA_TCGA-A2-A0CV	0	3	3	2	0	0	0	0	1	0	0	0	2	2	0	0	2	2	0	4	0	1	2	0
BRCA_TCGA-A2-A0CW	2	1	5	6	6	0	2	1	2	0	0	0	1	2	4	18	0	13	0	0	3	13	1	4
BRCA_TCGA-A2-A0D3	0	5	2	8	2	0	2	0	0	1	2	0	1	3	1	2	0	0	0	0	0	0	1	2
BRCA_TCGA-A2-A0EN	0	1	3	2	6	2	0	0	2	2	0	0	6	2	1	2	1	0	0	0	0	4	4	1
BRCA_TCGA-A2-A0EP	0	0	0	0	1	1	0	1	1	0	0	0	1	0	2	1	2	4	1	1	0	0	0	0
BRCA_TCGA-A2-A0ES	0	1	1	1	1	1	0	0	1	0	2	0	2	0	3	0	1	0	0	0	0	2	1	2
BRCA_TCGA-A2-A0EW	0	1	1	3	1	0	0	0	0	3	2	0	0	0	1	0	4	1	0	1	0	2	0	0
BRCA_TCGA-A2-A0ST	0	2	1	0	5	0	0	0	1	2	0	1	2	0	1	2	0	3	0	6	0	0	0	2
BRCA_TCGA-A2-A0SU	0	4	0	1	1	2	0	0	1	1	0	1	5	4	0	1	0	2	0	0	2	5	5	0
BRCA_TCGA-A2-A0SX	2	6	0	0	2	0	2	0	3	0	0	0	1	0	5	4	2	4	1	2	6	1	0	0
BRCA_TCGA-A2-A0SY	1	2	15	5	5	0	0	0	1	2	5	0	6	0	18	38	0	76	0	0	3	0	0	0
BRCA_TCGA-A2-A0T0	6	6	3	4	3	1	0	6	12	8	16	6	1	7	7	7	8	17	6	7	2	57	18	9
BRCA_TCGA-A2-A0T1	0	2	3	1	5	2	0	0	4	0	0	1	3	0	1	0	0	0	2	0	0	0	4	4
BRCA_TCGA-A2-A0T3	2	2	2	7	0	0	0	0	1	0	5	0	0	4	1	1	2	1	0	0	3	3	0	10
BRCA_TCGA-A2-A0T4	0	4	0	4	0	2	0	0	0	3	1	0	1	0	0	4	1	7	0	7	0	7	0	0
BRCA_TCGA-A2-A0T5	0	2	1	1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	1	0	2
BRCA_TCGA-A2-A0T6	0	4	2	4	6	0	0	0	0	0	1	0	0	0	0	4	2	0	0	0	0	1	3	1
BRCA_TCGA-A2-A0T7	0	2	2	4	2	0	0	0	2	1	0	0	2	2	0	4	0	0	2	0	0	6	0	0
BRCA_TCGA-A2-A0YC	0	2	1	5	0	1	0	1	1	0	0	0	0	0	0	6	2	1	0	0	2	8	0	2
BRCA_TCGA-A2-A0YD	2	3	12	2	5	0	0	0	0	0	1	1	3	1	2	27	0	23	0	5	0	0	0	0
BRCA_TCGA-A2-A0YE	1	5	2	4	3	0	0	0	0	2	0	2	3	0	1	7	0	1	0	3	7	2	0	0
BRCA_TCGA-A2-A0YF	4	3	1	3	0	1	0	0	0	1	0	0	1	3	4	2	1	0	0	0	2	2	5	6
BRCA_TCGA-A2-A0YG	0	2	4	7	5	1	2	1	2	4	7	0	5	5	6	10	2	1	0	0	0	7	3	4
BRCA_TCGA-A2-A0YH	2	3	5	0	9	2	0	0	0	2	2	0	9	0	4	14	0	34	0	0	5	7	2	0
BRCA_TCGA-A2-A0YI	0	1	1	0	1	0	0	1	1	0	0	0	0	0	3	0	1	1	0	1	0	1	2	4
BRCA_TCGA-A2-A0YJ	2	5	4	8	7	1	0	1	3	1	10	0	4	2	0	0	8	6	6	1	4	22	3	0
BRCA_TCGA-A2-A0YK	9	1	24	3	4	0	0	0	0	0	1	0	0	0	13	163	0	243	0	0	17	0	0	0
BRCA_TCGA-A2-A0YL	0	1	1	1	2	0	0	0	0	1	1	0	4	0	5	14	0	12	0	0	1	0	0	0
BRCA_TCGA-A2-A0YM	0	8	7	9	6	1	0	0	1	4	0	1	0	0	6	15	11	22	0	0	7	8	0	3
BRCA_TCGA-A2-A0YT	1	9	10	3	4	0	0	0	0	2	2	0	0	0	6	19	2	2	0	1	2	18	0	0
BRCA_TCGA-A2-A1FV	0	4	1	2	7	0	0	0	1	2	1	4	4	0	3	11	0	0	0	0	2	6	1	1
BRCA_TCGA-A2-A1FW	3	4	5	7	10	5	0	1	5	0	5	0	2	0	12	0	0	6	4	2	2	5	3	14
BRCA_TCGA-A2-A1FX	2	3	2	2	1	0	0	0	0	2	0	0	3	0	2	0	0	0	0	3	0	3	3	2
BRCA_TCGA-A2-A1FZ	0	2	0	3	3	0	0	0	3	3	4	0	1	0	2	0	2	1	0	0	2	0	0	3
BRCA_TCGA-A2-A1G0	0	0	2	0	2	0	0	0	0	1	0	0	8	0	0	3	1	0	0	0	2	2	0	2
BRCA_TCGA-A2-A1G1	0	0	1	2	3	2	2	0	0	2	3	0	2	0	1	5	0	0	0	3	5	7	0	1
BRCA_TCGA-A2-A1G6	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	1	0
BRCA_TCGA-A2-A259	0	1	2	1	2	1	0	0	0	0	0	0	3	0	5	2	2	2	0	3	0	4	0	1
BRCA_TCGA-A2-A25A	5	3	3	3	5	1	0	3	0	0	0	1	0	1	11	44	0	36	0	10	0	3	0	0
BRCA_TCGA-A2-A25B	4	6	5	4	0	0	3	7	2	0	9	2	4	2	12	4	2	4	0	12	1	25	14	6
BRCA_TCGA-A2-A25C	3	0	0	0	1	1	0	0	7	1	2	0	0	11	5	1	0	1	0	0	0	3	0	3
BRCA_TCGA-A2-A25D	0	2	2	3	3	5	0	0	0	2	0	0	7	1	2	5	7	5	4	0	0	3	1	12
BRCA_TCGA-A2-A25E	1	1	2	2	2	7	2	0	1	3	0	0	1	4	0	7	4	2	0	0	0	16	4	2
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	3
BRCA_TCGA-A2-A3KD	0	1	0	2	3	0	0	0	1	1	0	2	3	0	1	2	0	0	0	0	0	0	2	0
BRCA_TCGA-A2-A3XT	4	1	0	1	6	6	0	0	1	8	0	0	10	0	0	0	6	30	3	6	0	28	2	10
BRCA_TCGA-A2-A3XU	0	2	1	5	3	0	0	2	2	2	4	1	0	0	0	2	0	0	0	0	0	6	0	1
BRCA_TCGA-A2-A3XV	0	5	3	1	2	2	0	0	5	0	3	0	6	1	3	0	6	0	1	0	1	4	0	5
BRCA_TCGA-A2-A3XW	0	1	2	2	0	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0	2	2	0
BRCA_TCGA-A2-A3XX	0	5	4	1	5	2	2	0	1	2	2	0	3	3	1	4	1	1	0	0	0	10	2	3
BRCA_TCGA-A2-A3XZ	0	2	5	4	3	0	0	0	0	2	3	1	0	0	4	5	0	14	0	0	0	4	5	0
BRCA_TCGA-A2-A3Y0	4	9	4	5	5	4	0	3	13	12	8	5	18	5	0	2	1	46	5	7	1	58	13	15
BRCA_TCGA-A2-A4S1	6	6	0	9	2	4	0	1	5	1	0	1	1	1	1	5	3	4	2	0	2	19	6	19
BRCA_TCGA-A2-A4S2	0	3	0	2	3	1	0	0	2	1	2	0	2	0	0	11	6	0	0	0	1	2	0	7
BRCA_TCGA-A2-A4S3	4	5	3	5	9	5	2	0	3	3	2	3	4	1	4	7	9	10	0	6	3	10	8	1
BRCA_TCGA-A7-A0CE	1	3	1	1	2	0	0	1	2	2	4	2	2	4	7	3	0	3	0	2	2	14	5	0
BRCA_TCGA-A7-A0CH	0	0	1	2	0	0	0	0	0	2	0	0	3	0	2	0	0	0	0	3	0	1	2	1
BRCA_TCGA-A7-A0D9	0	1	0	0	1	0	0	0	0	0	0	2	1	0	2	1	0	2	1	0	0	0	1	0
BRCA_TCGA-A7-A0DA	2	3	4	6	2	1	3	1	0	7	7	7	6	6	3	9	2	11	6	0	0	62	14	25
BRCA_TCGA-A7-A0DB	1	2	2	3	4	1	2	0	1	1	1	0	0	0	0	11	3	10	3	0	0	2	0	6
BRCA_TCGA-A7-A13D	0	3	3	7	5	2	4	1	1	4	5	2	4	6	9	1	2	14	0	5	0	45	14	3
BRCA_TCGA-A7-A13E	0	9	2	9	18	4	0	3	0	3	2	0	0	0	5	0	2	5	0	1	3	11	0	3
BRCA_TCGA-A7-A13F	1	4	5	8	2	1	0	0	1	2	4	1	2	0	2	0	1	4	0	0	2	1	2	2
BRCA_TCGA-A7-A13G	1	4	0	2	1	0	0	0	0	1	2	1	1	0	0	10	0	2	1	0	0	3	3	0
BRCA_TCGA-A7-A26E	0	2	8	6	6	2	0	1	0	2	1	0	0	0	1	23	2	3	1	0	0	2	0	7
BRCA_TCGA-A7-A26F	2	0	4	3	10	2	0	1	0	0	1	0	3	0	0	5	0	1	0	5	0	5	0	4
BRCA_TCGA-A7-A26G	2	3	2	2	0	0	2	2	2	0	4	2	1	2	0	10	1	10	0	10	0	6	1	6
BRCA_TCGA-A7-A26H	4	3	5	13	9	2	0	0	0	2	0	5	2	0	9	31	0	55	0	0	3	2	0	5
BRCA_TCGA-A7-A26I	1	1	2	2	2	1	0	0	1	1	0	0	3	0	4	5	7	3	0	3	0	4	1	5
BRCA_TCGA-A7-A26J	3	1	0	1	5	0	0	0	0	0	1	2	2	0	5	0	1	3	0	0	0	7	3	8
BRCA_TCGA-A7-A2KD	1	5	3	8	0	2	0	0	0	2	0	2	4	0	2	8	0	3	1	0	0	6	7	1
BRCA_TCGA-A7-A3RF	0	2	0	0	6	0	0	0	1	1	2	0	3	2	0	3	10	0	0	1	1	3	2	3
BRCA_TCGA-A7-A425	0	3	0	2	5	0	0	0	1	1	0	0	0	4	4	0	3	0	0	0	2	1	6	1
BRCA_TCGA-A7-A4SC	1	4	3	4	0	0	1	0	0	2	0	0	2	0	3	2	0	0	1	0	1	2	2	10
BRCA_TCGA-A7-A4SD	0	4	3	12	7	1	0	1	4	0	5	0	0	2	0	1	0	2	4	5	2	5	3	1
BRCA_TCGA-A7-A4SE	2	1	1	1	4	6	4	2	6	0	9	3	3	1	7	8	0	33	2	7	0	32	9	5
BRCA_TCGA-A7-A56D	9	11	14	10	8	4	0	1	0	0	7	0	5	0	14	67	2	54	0	0	0	17	2	0
BRCA_TCGA-A7-A5ZV	3	8	7	17	5	5	1	3	5	15	3	1	11	10	9	0	11	33	13	13	2	65	14	14
BRCA_TCGA-A7-A5ZW	1	2	3	0	5	1	0	0	1	5	0	2	2	0	0	5	0	7	0	0	2	0	0	0
BRCA_TCGA-A7-A5ZX	1	2	4	2	1	1	0	0	2	2	1	0	0	2	4	5	0	0	3	1	0	6	3	2
BRCA_TCGA-A7-A6VV	0	2	1	7	6	0	0	3	0	5	4	0	12	0	2	0	0	10	0	1	0	7	0	4
BRCA_TCGA-A7-A6VW	0	1	3	3	6	1	0	2	4	3	2	2	9	4	1	4	6	6	2	8	0	13	12	0
BRCA_TCGA-A7-A6VX	1	3	3	2	6	5	2	1	2	6	4	1	7	11	9	35	6	15	7	15	4	26	0	6
BRCA_TCGA-A7-A6VY	3	3	4	4	3	7	3	2	4	4	4	0	7	2	10	2	4	15	0	2	0	41	6	6
BRCA_TCGA-A8-A075	2	3	2	3	4	1	0	0	0	2	0	0	9	1	13	15	5	13	2	0	0	18	3	4
BRCA_TCGA-AC-A23C	6	6	5	3	3	4	0	0	6	3	7	0	2	0	6	37	9	26	2	0	0	11	4	5
BRCA_TCGA-AC-A23E	1	2	2	5	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	3	0	6	0	0
BRCA_TCGA-AC-A23H	98	26	287	30	0	20	0	0	0	0	62	0	0	0	71	2244	0	3262	0	0	278	0	0	0
BRCA_TCGA-AC-A2B8	1	1	6	4	4	3	0	0	0	0	2	0	4	0	2	46	0	44	0	0	6	5	0	0
BRCA_TCGA-AC-A2BK	0	11	3	10	1	4	0	1	6	4	1	2	6	3	2	0	1	4	0	2	8	33	4	4
BRCA_TCGA-AC-A2BM	0	2	1	2	1	3	0	0	0	0	0	0	1	0	0	0	1	3	4	0	2	1	4	1
BRCA_TCGA-AC-A2FB	0	1	0	1	1	0	0	0	2	1	0	0	4	0	0	6	0	0	0	0	0	1	0	0
BRCA_TCGA-AC-A2FF	0	0	0	0	1	0	0	0	0	0	0	0	0	2	4	0	1	3	0	0	0	0	0	0
BRCA_TCGA-AC-A2FG	0	1	3	1	6	2	0	0	1	1	3	0	0	2	0	9	1	2	0	1	0	2	3	1
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0
BRCA_TCGA-AC-A2FO	1	0	2	0	3	0	0	0	0	0	1	0	2	0	2	7	0	5	0	0	1	1	2	0
BRCA_TCGA-AC-A2QH	1	4	0	1	5	1	0	1	1	0	2	0	0	0	0	3	0	2	0	0	2	3	1	0
BRCA_TCGA-AC-A3HN	0	3	1	1	1	1	0	0	2	0	0	0	0	0	1	2	0	1	2	1	0	2	3	1
BRCA_TCGA-AC-A3OD	2	4	4	1	2	0	0	1	1	0	3	0	5	1	0	10	3	0	0	0	0	1	1	0
BRCA_TCGA-AC-A3QP	0	1	3	1	1	0	0	0	1	4	2	0	2	0	0	0	0	1	0	0	0	2	5	12
BRCA_TCGA-AC-A3QQ	1	4	0	5	1	2	0	0	0	0	0	2	4	0	2	0	0	2	2	1	0	1	9	0
BRCA_TCGA-AC-A3W5	1	8	7	5	3	8	0	1	0	4	2	1	15	0	10	15	5	46	5	3	5	49	18	0
BRCA_TCGA-AC-A3YI	0	2	2	1	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	2	0	1	0	5
BRCA_TCGA-AC-A3YJ	1	4	1	4	3	0	0	0	1	1	0	2	6	0	4	3	3	2	0	0	0	0	3	0
BRCA_TCGA-AC-A4ZE	0	5	3	3	5	6	0	1	0	7	0	2	2	0	1	11	0	0	0	2	4	14	4	4
BRCA_TCGA-AC-A5EH	6	3	4	9	2	5	2	3	2	13	8	6	10	9	4	13	0	16	6	10	6	46	9	13
BRCA_TCGA-AC-A5EI	0	2	3	2	5	0	0	0	2	2	0	2	5	0	0	10	0	1	0	0	2	5	2	0
BRCA_TCGA-AC-A5XS	13	2	52	9	0	0	1	1	0	0	1	0	0	0	88	223	0	308	0	0	14	3	0	0
BRCA_TCGA-AC-A5XU	1	13	3	12	10	1	2	3	4	0	4	0	1	0	13	11	1	8	0	4	4	1	4	13
BRCA_TCGA-AC-A62V	5	18	3	11	5	3	0	0	2	1	6	1	6	1	8	0	0	7	0	5	1	20	2	1
BRCA_TCGA-AC-A62X	5	12	2	17	9	0	0	1	5	1	2	0	4	0	5	0	0	4	2	3	4	8	1	2
BRCA_TCGA-AC-A62Y	0	3	2	4	8	0	0	1	1	5	3	4	3	3	2	14	0	21	2	3	0	8	2	0
BRCA_TCGA-AC-A6IV	0	1	4	2	2	2	0	1	0	1	1	0	3	0	0	0	1	0	0	3	0	0	3	3
BRCA_TCGA-AC-A6IW	0	11	6	12	3	3	0	1	0	4	4	2	17	0	17	18	8	70	4	10	9	22	10	0
BRCA_TCGA-AC-A6IX	0	4	2	3	4	4	0	0	1	5	0	0	5	0	1	30	1	9	0	0	1	1	0	0
BRCA_TCGA-AC-A6NO	0	2	2	2	7	6	0	0	1	3	0	0	0	0	5	1	2	1	0	0	1	0	0	10
BRCA_TCGA-AC-A7VB	0	4	1	3	5	4	0	0	0	3	0	0	7	0	0	0	0	0	0	0	3	1	1	3
BRCA_TCGA-AC-A7VC	0	2	3	2	3	2	0	0	1	1	1	0	2	0	1	0	0	0	0	4	0	3	0	1
BRCA_TCGA-AC-A8OP	9	13	13	15	13	5	6	12	8	7	12	0	3	12	14	6	3	19	2	11	3	42	10	6
BRCA_TCGA-AC-A8OQ	1	8	9	4	17	8	0	2	3	0	0	1	9	2	3	21	5	5	6	0	7	20	1	5
BRCA_TCGA-AC-A8OR	0	4	0	3	0	3	0	0	0	0	0	0	2	6	0	2	3	0	1	0	0	2	5	1
BRCA_TCGA-AC-A8OS	0	0	2	6	6	2	2	0	3	6	4	0	5	0	2	15	0	6	4	0	0	10	1	5
BRCA_TCGA-AN-A0XL	3	1	2	5	3	1	0	3	2	3	0	0	4	0	5	0	0	0	0	0	2	1	0	5
BRCA_TCGA-AN-A0XN	5	6	4	2	5	2	0	4	7	3	9	4	3	3	7	0	15	17	8	17	0	30	8	16
BRCA_TCGA-AN-A0XO	0	2	5	0	2	1	0	0	2	3	0	1	0	0	3	8	5	3	0	2	0	6	0	0
BRCA_TCGA-AN-A0XP	1	2	1	2	1	1	0	0	4	0	1	2	0	2	0	6	1	4	2	0	0	3	1	0
BRCA_TCGA-AN-A0XR	0	1	0	3	3	4	0	0	0	0	0	0	5	1	0	6	0	3	0	0	0	5	1	6
BRCA_TCGA-AN-A0XS	0	1	3	2	1	5	1	0	0	0	0	0	1	1	0	8	0	1	0	1	0	1	4	2
BRCA_TCGA-AN-A0XT	0	2	1	2	5	0	0	0	1	0	2	0	6	2	0	0	0	1	0	0	0	0	0	0
BRCA_TCGA-AN-A0XU	8	0	4	3	8	4	2	3	0	6	1	1	11	2	0	3	5	17	0	10	1	33	9	6
BRCA_TCGA-AN-A0XV	0	5	3	2	1	0	0	0	3	1	3	2	0	0	3	0	1	5	0	5	0	5	4	1
BRCA_TCGA-AN-A0XW	4	2	11	4	1	0	2	1	0	0	5	0	0	0	1	144	0	240	1	0	7	0	0	0
BRCA_TCGA-AO-A03M	16	1	56	4	8	1	0	0	0	0	0	0	0	0	54	342	0	664	0	0	4	0	0	0
BRCA_TCGA-AO-A03N	4	4	8	4	5	2	2	4	0	0	6	0	0	0	11	34	0	45	0	0	1	0	0	4
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0
BRCA_TCGA-AO-A03V	1	1	4	3	4	3	2	0	0	1	0	2	3	1	13	5	0	12	2	2	6	1	2	4
BRCA_TCGA-AO-A0JG	2	0	0	0	0	1	0	1	1	1	0	0	0	0	2	2	0	0	2	2	0	5	2	0
BRCA_TCGA-AO-A124	5	4	5	5	6	3	1	0	0	9	7	1	8	2	10	0	7	8	4	7	11	44	14	17
BRCA_TCGA-AO-A125	1	3	4	6	2	0	0	3	1	1	3	1	5	0	0	3	0	2	0	1	0	5	4	0
BRCA_TCGA-AO-A126	0	0	3	1	6	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	2	2	4
BRCA_TCGA-AO-A128	3	141	35	126	130	92	0	98	98	243	40	44	11	11	8	12	21	22	25	35	2	13	0	0
BRCA_TCGA-AO-A129	2	4	2	1	9	0	2	6	3	8	6	5	6	5	5	10	0	25	6	0	0	22	0	17
BRCA_TCGA-AO-A12A	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	3	1
BRCA_TCGA-AO-A12B	0	2	0	3	2	0	2	1	0	0	0	2	0	0	0	2	0	0	0	1	0	3	5	0
BRCA_TCGA-AO-A12D	0	1	9	5	4	0	0	0	0	1	1	0	2	0	9	23	0	11	0	1	3	3	0	0
BRCA_TCGA-AO-A12E	0	4	2	4	3	0	0	0	0	1	1	1	0	0	2	1	2	1	0	1	0	4	4	2
BRCA_TCGA-AO-A12F	1	7	2	5	0	1	4	0	0	0	1	1	0	2	0	0	5	0	0	1	0	3	7	0
BRCA_TCGA-AO-A12G	0	2	1	2	9	1	0	0	4	0	3	2	2	0	2	4	0	5	0	0	0	1	2	2
BRCA_TCGA-AO-A12H	0	1	2	2	5	3	0	0	1	3	0	0	0	0	4	0	0	0	0	1	0	4	3	1
BRCA_TCGA-AO-A1KO	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	2	3	0
BRCA_TCGA-AO-A1KR	1	1	3	6	2	0	0	0	0	7	6	8	2	2	0	6	0	9	0	8	0	19	1	8
BRCA_TCGA-AO-A1KT	0	3	3	5	3	1	0	1	6	3	2	2	1	0	0	5	0	0	0	0	0	7	6	3
BRCA_TCGA-AQ-A04H	2	10	4	9	14	3	0	0	6	0	2	2	3	0	0	2	0	5	2	7	0	3	0	7
BRCA_TCGA-AQ-A0Y5	0	6	6	6	6	1	0	2	2	1	0	0	0	0	2	10	0	12	1	3	0	9	0	3
BRCA_TCGA-AQ-A1H2	0	3	3	2	4	1	0	0	1	2	2	0	1	0	0	2	1	0	2	0	2	3	4	1
BRCA_TCGA-AQ-A1H3	0	3	0	8	6	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0	0	3	1	0
BRCA_TCGA-AQ-A54O	1	1	0	3	0	0	0	0	0	1	3	0	0	0	0	7	1	0	1	2	0	0	4	1
BRCA_TCGA-AQ-A7U7	0	4	8	0	5	3	0	0	0	2	2	1	1	0	0	31	0	30	2	3	4	0	0	0
BRCA_TCGA-AR-A0TP	0	0	1	0	3	0	0	2	1	5	6	4	1	4	1	5	3	4	2	3	0	19	0	7
BRCA_TCGA-AR-A0TQ	1	2	2	5	1	3	0	0	0	0	1	0	0	2	4	16	1	2	0	1	1	2	1	4
BRCA_TCGA-AR-A0TR	0	2	3	6	0	2	0	0	2	5	3	1	0	0	6	0	0	1	0	1	0	2	7	1
BRCA_TCGA-AR-A0TS	1	5	0	8	0	0	0	4	0	3	2	2	6	3	4	6	1	9	2	0	1	17	8	8
BRCA_TCGA-AR-A0TT	0	6	4	5	3	2	0	0	5	1	1	1	9	0	2	11	1	7	2	0	0	7	7	1
BRCA_TCGA-AR-A0TU	5	5	1	0	7	0	0	1	2	0	3	3	4	5	2	3	4	10	1	7	0	26	0	1
BRCA_TCGA-AR-A0TV	1	3	2	7	9	5	0	0	3	1	4	0	9	1	3	4	3	4	0	0	1	10	3	6
BRCA_TCGA-AR-A0TW	4	4	4	5	8	2	0	1	0	2	3	1	0	3	1	1	4	3	0	6	0	9	2	4
BRCA_TCGA-AR-A0TX	2	2	31	4	2	1	0	0	0	0	4	0	0	0	13	151	0	196	0	0	1	0	0	0
BRCA_TCGA-AR-A0TZ	3	4	8	2	4	1	2	0	0	2	3	2	0	2	0	11	0	15	0	1	3	2	2	0
BRCA_TCGA-AR-A0U0	2	2	2	3	0	1	2	0	0	0	4	2	5	0	1	1	0	11	1	1	1	3	3	5
BRCA_TCGA-AR-A0U1	2	2	1	3	0	1	0	1	5	6	0	4	1	4	5	0	6	13	1	12	3	25	8	6
BRCA_TCGA-AR-A0U2	0	9	2	3	4	4	0	1	0	2	1	1	3	2	2	0	1	0	0	2	2	3	8	6
BRCA_TCGA-AR-A0U3	2	6	3	2	2	1	0	1	1	0	3	0	0	0	6	0	0	0	0	7	0	2	2	2
BRCA_TCGA-AR-A0U4	7	4	4	6	0	0	0	3	4	1	8	0	8	0	11	5	10	48	3	5	9	46	8	11
BRCA_TCGA-AR-A1AH	7	7	2	0	6	9	0	4	10	2	0	0	6	2	0	2	3	8	4	3	10	22	2	11
BRCA_TCGA-AR-A1AI	1	5	7	3	5	3	0	1	4	1	4	2	8	0	8	0	0	17	0	10	1	1	8	0
BRCA_TCGA-AR-A1AJ	0	3	4	2	7	0	0	0	0	3	2	1	0	0	0	20	0	10	0	0	0	1	0	0
BRCA_TCGA-AR-A1AK	1	4	6	3	5	0	0	0	2	1	0	0	7	0	5	14	0	22	0	0	7	2	1	2
BRCA_TCGA-AR-A1AL	0	2	1	2	1	0	0	0	0	6	0	2	1	0	2	4	0	3	0	3	0	0	2	1
BRCA_TCGA-AR-A1AN	0	4	2	1	7	0	0	0	2	0	2	0	0	0	1	0	0	4	0	4	0	3	1	0
