Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
EXO1_0_multinomial_train1.57	2.85E-01	2.89E-26	2.89E-26	2.89E-26	2.35E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.58	2.97E-01	2.89E-26	2.89E-26	2.89E-26	1.81E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.59	2.93E-01	2.89E-26	2.89E-26	2.89E-26	2.02E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.60	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.49E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.61	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.21E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.62	2.88E-01	2.89E-26	2.89E-26	2.89E-26	2.06E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.63	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.36E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.64	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.35E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.65	2.86E-01	2.89E-26	2.89E-26	2.89E-26	2.59E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.66	2.93E-01	2.89E-26	2.89E-26	2.89E-26	2.04E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.67	2.85E-01	2.89E-26	2.89E-26	2.89E-26	2.32E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.68	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.55E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.69	2.91E-01	2.89E-26	2.89E-26	2.89E-26	1.62E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.70	2.85E-01	2.89E-26	2.89E-26	2.89E-26	2.55E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.71	2.95E-01	2.89E-26	2.89E-26	2.89E-26	2.18E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.72	2.88E-01	2.89E-26	2.89E-26	2.89E-26	2.50E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.73	2.88E-01	2.89E-26	2.89E-26	2.89E-26	2.31E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.74	2.95E-01	2.89E-26	2.89E-26	2.89E-26	1.82E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.75	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.02E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.76	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.16E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.77	2.94E-01	2.89E-26	2.89E-26	2.89E-26	2.46E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.78	2.93E-01	2.89E-26	2.89E-26	2.89E-26	2.33E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.79	2.90E-01	2.89E-26	2.89E-26	2.89E-26	2.38E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.80	2.95E-01	2.89E-26	2.89E-26	2.89E-26	1.93E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.81	2.85E-01	2.89E-26	2.89E-26	2.89E-26	2.63E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.82	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.33E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.83	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.36E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.84	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.39E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.85	2.88E-01	2.89E-26	2.89E-26	2.89E-26	1.77E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.86	2.92E-01	2.89E-26	2.89E-26	2.89E-26	2.18E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.87	2.91E-01	2.89E-26	2.89E-26	2.89E-26	2.20E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.88	2.85E-01	2.89E-26	2.89E-26	2.89E-26	2.57E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.89	2.88E-01	2.89E-26	2.89E-26	2.89E-26	2.42E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.90	2.92E-01	2.89E-26	2.89E-26	2.89E-26	1.95E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.91	2.88E-01	2.89E-26	2.89E-26	2.89E-26	2.05E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.92	2.90E-01	2.89E-26	2.89E-26	2.89E-26	2.40E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.93	2.86E-01	2.89E-26	2.89E-26	2.89E-26	1.93E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.94	2.88E-01	2.89E-26	2.89E-26	2.89E-26	2.17E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.95	2.89E-01	2.89E-26	2.89E-26	2.89E-26	2.03E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.96	2.99E-01	2.89E-26	2.89E-26	7.53E-03	1.81E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.97	2.85E-01	2.89E-26	2.89E-26	2.89E-26	2.51E-02	2.89E-26	2.89E-26
EXO1_0_multinomial_train1.98	2.84E-01	2.89E-26	2.89E-26	2.89E-26	2.57E-02	2.89E-26	2.89E-26
OGG1_0_multinomial_train1	3.94E-02	2.14E-02	2.11E-01	2.11E-01	2.42E-01	2.16E-02	7.31E-03
OGG1_0_multinomial_train1.1	4.51E-02	2.28E-02	2.26E-01	2.30E-01	2.56E-01	3.73E-04	2.60E-02
OGG1_0_multinomial_train1.2	5.05E-02	2.68E-02	2.14E-01	2.10E-01	2.35E-01	2.68E-02	1.46E-34
OGG1_0_multinomial_train1.3	3.50E-02	1.38E-02	2.41E-01	2.43E-01	2.68E-01	2.25E-14	1.00E-02
OGG1_0_multinomial_train1.4	2.79E-02	1.91E-02	2.48E-01	2.51E-01	2.76E-01	1.67E-29	1.19E-02
OGG1_0_multinomial_train1.5	3.28E-02	2.12E-02	2.29E-01	2.28E-01	2.56E-01	1.98E-02	1.33E-02
OGG1_0_multinomial_train1.6	4.51E-02	3.67E-02	2.11E-01	2.05E-01	2.31E-01	4.41E-02	2.47E-03
OGG1_0_multinomial_train1.7	4.77E-02	1.61E-02	2.23E-01	2.20E-01	2.41E-01	1.44E-21	1.27E-02
OGG1_0_multinomial_train1.8	2.72E-02	1.75E-02	2.51E-01	2.49E-01	2.77E-01	1.15E-02	1.38E-02
OGG1_0_multinomial_train1.9	3.64E-02	1.81E-02	2.41E-01	2.43E-01	2.67E-01	6.98E-04	9.47E-03
OGG1_0_multinomial_train1.10	3.95E-02	1.79E-02	2.39E-01	2.40E-01	2.68E-01	2.12E-23	1.72E-02
OGG1_0_multinomial_train1.11	3.27E-02	2.21E-02	2.43E-01	2.47E-01	2.72E-01	1.61E-02	4.74E-04
OGG1_0_multinomial_train1.12	4.46E-02	1.99E-02	2.12E-01	2.12E-01	2.30E-01	1.61E-02	2.24E-02
OGG1_0_multinomial_train1.13	4.48E-02	1.42E-02	2.22E-01	2.26E-01	2.44E-01	1.09E-25	1.20E-02
OGG1_0_multinomial_train1.14	4.88E-02	2.51E-02	2.18E-01	2.18E-01	2.40E-01	3.02E-02	6.30E-03
OGG1_0_multinomial_train1.15	3.24E-02	2.37E-02	2.34E-01	2.32E-01	2.58E-01	2.34E-02	2.44E-02
OGG1_0_multinomial_train1.16	4.26E-02	1.59E-02	2.31E-01	2.31E-01	2.58E-01	9.20E-09	1.25E-02
OGG1_0_multinomial_train1.17	4.82E-02	1.51E-02	2.21E-01	2.25E-01	2.41E-01	1.32E-02	1.36E-02
OGG1_0_multinomial_train1.18	3.82E-02	1.92E-02	2.32E-01	2.31E-01	2.60E-01	1.82E-02	5.95E-03
OGG1_0_multinomial_train1.19	4.69E-02	2.04E-02	2.28E-01	2.32E-01	2.57E-01	2.35E-02	1.45E-06
OGG1_0_multinomial_train1.20	4.25E-02	2.29E-02	2.38E-01	2.38E-01	2.62E-01	1.84E-02	2.01E-02
OGG1_0_multinomial_train1.21	4.59E-02	2.19E-02	2.19E-01	2.16E-01	2.44E-01	1.97E-02	6.37E-10
OGG1_0_multinomial_train1.22	3.24E-02	2.77E-02	2.30E-01	2.37E-01	2.62E-01	2.70E-02	1.54E-02
OGG1_0_multinomial_train1.23	4.17E-02	2.25E-02	2.25E-01	2.21E-01	2.51E-01	2.66E-02	3.67E-03
OGG1_0_multinomial_train1.24	4.57E-02	3.04E-02	1.97E-01	1.94E-01	2.12E-01	3.64E-02	1.79E-03
OGG1_0_multinomial_train1.25	3.73E-02	2.38E-02	2.31E-01	2.32E-01	2.66E-01	1.54E-66	5.05E-03
OGG1_0_multinomial_train1.26	4.23E-02	1.82E-02	2.24E-01	2.27E-01	2.53E-01	1.66E-02	1.99E-22
OGG1_0_multinomial_train1.27	4.12E-02	2.23E-02	2.32E-01	2.37E-01	2.61E-01	1.50E-12	1.99E-02
OGG1_0_multinomial_train1.28	3.77E-02	1.63E-02	2.27E-01	2.25E-01	2.55E-01	1.48E-02	3.96E-03
OGG1_0_multinomial_train1.29	4.53E-02	2.38E-02	2.27E-01	2.31E-01	2.56E-01	1.20E-02	1.17E-02
OGG1_0_multinomial_train1.30	4.31E-02	2.03E-02	2.29E-01	2.29E-01	2.54E-01	1.71E-02	3.76E-03
OGG1_0_multinomial_train1.31	4.10E-02	3.37E-02	2.14E-01	2.16E-01	2.41E-01	3.19E-02	4.55E-03
OGG1_0_multinomial_train1.32	4.53E-02	1.86E-02	2.17E-01	2.16E-01	2.42E-01	1.81E-02	7.11E-43
OGG1_0_multinomial_train1.33	2.86E-02	1.81E-02	2.49E-01	2.47E-01	2.74E-01	1.26E-02	1.40E-02
OGG1_0_multinomial_train1.34	3.80E-02	2.47E-02	2.27E-01	2.23E-01	2.51E-01	3.05E-02	1.56E-02
OGG1_0_multinomial_train1.35	4.35E-02	1.35E-02	2.38E-01	2.37E-01	2.60E-01	2.82E-12	1.14E-02
OGG1_0_multinomial_train1.36	3.79E-02	2.07E-02	2.30E-01	2.30E-01	2.63E-01	3.49E-53	1.50E-02
OGG1_0_multinomial_train1.37	4.67E-02	2.00E-02	2.28E-01	2.23E-01	2.54E-01	1.23E-02	1.21E-02
OGG1_0_multinomial_train1.38	4.88E-02	1.77E-02	2.03E-01	1.96E-01	2.05E-01	2.23E-02	1.38E-03
OGG1_0_multinomial_train1.39	4.70E-02	1.68E-02	2.30E-01	2.29E-01	2.52E-01	1.55E-02	1.25E-20
OGG1_0_multinomial_train1.40	2.87E-02	2.91E-02	2.31E-01	2.30E-01	2.55E-01	2.35E-02	2.44E-02
OGG1_0_multinomial_train1.41	3.21E-02	1.19E-02	2.50E-01	2.47E-01	2.75E-01	7.45E-03	1.04E-02
OGG1_0_multinomial_train1.42	4.40E-02	3.56E-02	1.96E-01	1.95E-01	2.21E-01	3.76E-02	5.28E-03
OGG1_0_multinomial_train1.43	4.06E-02	2.69E-02	2.24E-01	2.30E-01	2.53E-01	1.09E-02	1.53E-02
OGG1_0_multinomial_train1.44	3.79E-02	7.55E-03	2.43E-01	2.38E-01	2.69E-01	8.33E-11	3.96E-03
OGG1_0_multinomial_train1.45	4.52E-02	2.30E-02	2.21E-01	2.22E-01	2.46E-01	2.73E-02	7.69E-03
OGG1_0_multinomial_train1.46	4.42E-02	2.02E-02	2.27E-01	2.29E-01	2.48E-01	1.93E-81	1.87E-02
OGG1_0_multinomial_train1.47	4.61E-02	2.16E-02	2.19E-01	2.16E-01	2.41E-01	2.22E-02	4.63E-03
OGG1_0_multinomial_train1.48	4.50E-02	1.70E-02	2.18E-01	2.19E-01	2.41E-01	1.83E-02	8.93E-03
OGG1_0_multinomial_train1.49	4.20E-02	3.15E-02	2.05E-01	2.09E-01	2.46E-01	2.30E-02	1.35E-02
OGG1_0_multinomial_train1.50	4.03E-02	2.48E-02	2.11E-01	2.07E-01	2.33E-01	2.53E-02	4.76E-38
OGG1_0_multinomial_train1.51	3.43E-02	2.49E-02	2.17E-01	2.24E-01	2.49E-01	2.45E-02	1.81E-02
OGG1_0_multinomial_train1.52	3.73E-02	1.95E-02	2.35E-01	2.38E-01	2.64E-01	4.27E-42	1.67E-02
OGG1_0_multinomial_train1.53	4.17E-02	1.81E-02	2.37E-01	2.36E-01	2.60E-01	1.27E-02	1.54E-02
OGG1_0_multinomial_train1.54	3.12E-02	1.24E-02	2.44E-01	2.41E-01	2.68E-01	7.15E-03	8.77E-03
OGG1_0_multinomial_train1.55	4.64E-02	3.41E-02	1.97E-01	1.95E-01	2.16E-01	2.74E-02	1.27E-61
OGG1_0_multinomial_train1.56	4.17E-02	2.20E-02	1.89E-01	1.93E-01	2.19E-01	3.10E-02	6.21E-03
OGG1_0_multinomial_train1.57	4.81E-02	2.28E-02	2.19E-01	2.23E-01	2.40E-01	8.56E-33	1.98E-02
OGG1_0_multinomial_train1.58	3.99E-02	2.12E-02	2.00E-01	1.96E-01	2.32E-01	2.80E-02	4.26E-16
OGG1_0_multinomial_train1.59	4.47E-02	2.90E-02	2.09E-01	2.02E-01	2.24E-01	3.54E-02	1.61E-05
OGG1_0_multinomial_train1.60	5.14E-02	1.92E-02	1.98E-01	1.97E-01	2.08E-01	2.09E-02	5.14E-03
OGG1_0_multinomial_train1.61	3.77E-02	2.02E-02	2.05E-01	2.08E-01	2.41E-01	2.40E-02	1.54E-02
OGG1_0_multinomial_train1.62	3.55E-02	1.61E-02	2.33E-01	2.35E-01	2.64E-01	1.31E-02	1.09E-06
OGG1_0_multinomial_train1.63	3.99E-02	1.83E-02	2.29E-01	2.28E-01	2.57E-01	5.86E-03	1.84E-02
OGG1_0_multinomial_train1.64	4.34E-02	1.35E-02	2.26E-01	2.22E-01	2.40E-01	1.27E-02	3.80E-04
OGG1_0_multinomial_train1.65	5.47E-02	1.66E-02	2.00E-01	2.01E-01	2.11E-01	2.34E-02	1.47E-02
OGG1_0_multinomial_train1.66	4.84E-02	1.66E-02	2.17E-01	2.13E-01	2.29E-01	1.65E-02	5.56E-03
OGG1_0_multinomial_train1.67	5.61E-02	2.01E-02	2.02E-01	2.03E-01	2.22E-01	2.53E-02	1.90E-02
OGG1_0_multinomial_train1.68	4.15E-02	1.30E-02	2.29E-01	2.32E-01	2.52E-01	1.66E-11	1.03E-02
OGG1_0_multinomial_train1.69	4.36E-02	2.24E-02	2.19E-01	2.19E-01	2.46E-01	1.87E-02	6.34E-36
OGG1_0_multinomial_train1.70	4.30E-02	1.64E-02	2.34E-01	2.40E-01	2.58E-01	2.53E-68	1.31E-02
OGG1_0_multinomial_train1.71	3.55E-02	4.12E-03	2.45E-01	2.39E-01	2.68E-01	1.25E-76	5.46E-03
OGG1_0_multinomial_train1.72	4.20E-02	1.91E-02	2.25E-01	2.26E-01	2.52E-01	1.85E-02	9.96E-04
OGG1_0_multinomial_train1.73	4.24E-02	1.77E-02	2.29E-01	2.29E-01	2.55E-01	2.01E-02	2.47E-41
OGG1_0_multinomial_train1.74	4.36E-02	1.49E-02	2.24E-01	2.20E-01	2.40E-01	1.44E-02	1.37E-30
OGG1_0_multinomial_train1.75	3.78E-02	2.01E-02	2.42E-01	2.41E-01	2.66E-01	1.32E-02	1.43E-02
OGG1_0_multinomial_train1.76	3.59E-02	2.60E-02	2.26E-01	2.28E-01	2.66E-01	2.01E-02	1.42E-02
OGG1_0_multinomial_train1.77	3.63E-02	1.30E-02	2.41E-01	2.38E-01	2.65E-01	1.05E-02	1.41E-02
OGG1_0_multinomial_train1.78	4.99E-02	6.49E-03	2.18E-01	2.12E-01	2.22E-01	4.57E-03	9.34E-03
OGG1_0_multinomial_train1.79	2.42E-02	9.68E-03	2.62E-01	2.61E-01	2.88E-01	3.65E-51	1.20E-11
OGG1_0_multinomial_train1.80	4.37E-02	2.08E-02	2.34E-01	2.34E-01	2.60E-01	1.29E-02	2.22E-02
OGG1_0_multinomial_train1.81	2.77E-02	1.60E-02	2.54E-01	2.54E-01	2.80E-01	7.20E-03	9.23E-03
OGG1_0_multinomial_train1.82	4.33E-02	1.53E-02	2.33E-01	2.36E-01	2.56E-01	7.66E-03	6.71E-03
OGG1_0_multinomial_train1.83	2.94E-02	1.66E-02	2.25E-01	2.27E-01	2.57E-01	1.92E-02	1.35E-02
OGG1_0_multinomial_train1.84	4.82E-02	1.36E-02	2.17E-01	2.14E-01	2.32E-01	1.79E-02	9.57E-03
OGG1_0_multinomial_train1.85	4.16E-02	3.32E-02	2.12E-01	2.14E-01	2.56E-01	1.87E-02	1.11E-02
OGG1_0_multinomial_train1.86	4.57E-02	9.45E-03	2.28E-01	2.25E-01	2.43E-01	1.09E-02	1.29E-02
OGG1_0_multinomial_train1.87	4.68E-02	1.76E-02	2.26E-01	2.23E-01	2.51E-01	1.42E-02	1.07E-02
OGG1_0_multinomial_train1.88	3.35E-02	1.91E-02	2.04E-01	2.02E-01	2.34E-01	2.62E-02	1.83E-02
OGG1_0_multinomial_train1.89	4.60E-02	1.84E-02	2.20E-01	2.16E-01	2.46E-01	2.32E-02	6.73E-03
OGG1_0_multinomial_train1.90	5.01E-02	2.26E-02	2.22E-01	2.28E-01	2.42E-01	2.48E-02	5.97E-05
OGG1_0_multinomial_train1.91	4.03E-02	2.63E-02	2.16E-01	2.15E-01	2.47E-01	2.75E-02	1.29E-02
OGG1_0_multinomial_train1.92	4.47E-02	1.84E-02	1.97E-01	1.96E-01	2.28E-01	2.91E-02	7.64E-03
OGG1_0_multinomial_train1.93	4.27E-02	1.43E-02	2.28E-01	2.29E-01	2.51E-01	7.10E-06	1.27E-02
OGG1_0_multinomial_train1.94	4.58E-02	2.60E-02	2.23E-01	2.30E-01	2.52E-01	2.11E-02	1.71E-03
OGG1_0_multinomial_train1.95	4.76E-02	7.07E-03	2.26E-01	2.26E-01	2.36E-01	9.60E-71	1.41E-02
OGG1_0_multinomial_train1.96	4.36E-02	1.40E-02	2.31E-01	2.32E-01	2.58E-01	1.45E-02	3.47E-06
OGG1_0_multinomial_train1.97	4.27E-02	1.30E-02	2.32E-01	2.26E-01	2.54E-01	1.29E-02	5.07E-08
OGG1_0_multinomial_train1.98	4.19E-02	2.67E-02	2.30E-01	2.28E-01	2.56E-01	3.09E-02	5.06E-03
RNF168_0_multinomial_train1	1.60E-01	1.49E-02	2.50E-26	6.52E-03	2.28E-01	1.18E-01	1.12E-01
