Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V	SBS96W
BRCA_TCGA-A2-A0ST	0	2	1	0	3	0	0	0	0	1	2	2	3	0	4	2	0	0	3	0	0	0	5
BRCA_TCGA-A2-A0SU	0	4	0	1	1	2	0	0	0	0	0	1	10	4	2	0	0	0	0	2	5	3	0
BRCA_TCGA-A2-A0SX	2	7	0	0	2	0	0	2	0	3	0	1	2	0	5	4	3	1	3	5	1	0	0
BRCA_TCGA-A2-A0SY	1	1	15	6	5	1	0	0	5	1	2	0	8	0	101	23	0	0	0	3	3	2	0
BRCA_TCGA-A2-A0T0	6	5	4	3	3	0	5	0	16	12	9	6	4	8	18	2	8	5	11	1	66	15	10
BRCA_TCGA-A2-A0T1	0	2	3	1	5	3	0	0	0	4	0	0	2	0	0	2	1	2	0	0	0	4	3
BRCA_TCGA-A2-A0T3	2	2	2	8	0	0	0	0	5	1	0	0	0	4	2	0	1	0	0	3	4	0	10
BRCA_TCGA-A2-A0T4	0	4	0	3	0	1	0	0	1	0	3	0	2	0	9	0	1	0	9	0	7	1	0
BRCA_TCGA-A2-A0T5	0	2	1	1	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	3
BRCA_TCGA-A2-A0T6	0	4	2	4	4	0	0	0	2	0	0	1	0	0	1	1	4	0	0	0	1	3	1
BRCA_TCGA-A2-A0T7	0	1	3	3	3	0	0	0	0	2	1	0	2	2	2	1	3	2	0	0	4	0	0
BRCA_TCGA-A2-A0YC	0	1	1	5	0	1	1	0	0	0	0	0	0	0	3	1	5	0	2	2	8	1	1
BRCA_TCGA-A2-A0YD	2	3	12	2	5	0	0	0	2	0	0	2	5	1	36	8	4	0	3	0	0	1	1
BRCA_TCGA-A2-A0YE	1	5	2	3	3	0	0	0	0	0	1	1	2	0	4	5	2	0	6	6	1	0	1
BRCA_TCGA-A2-A0YF	4	2	1	4	0	2	0	0	0	0	1	0	1	3	0	3	4	0	0	2	2	5	5
BRCA_TCGA-A2-A0YG	0	2	4	7	5	1	1	2	7	2	4	0	5	5	3	7	5	0	4	0	8	4	2
BRCA_TCGA-A2-A0YH	3	3	5	0	9	3	0	0	2	0	2	0	9	0	42	6	1	0	0	4	11	0	0
BRCA_TCGA-A2-A0YI	0	1	1	0	1	0	2	0	0	1	0	0	0	0	1	2	2	0	0	0	2	2	3
BRCA_TCGA-A2-A0YJ	3	5	4	9	7	0	1	0	10	4	1	0	5	3	4	0	5	6	2	4	23	2	0
BRCA_TCGA-A2-A0YK	11	1	25	2	4	1	0	0	4	1	1	0	0	0	343	51	9	0	0	18	0	7	0
BRCA_TCGA-A2-A0YL	0	1	1	1	2	0	0	0	2	0	1	1	4	0	17	7	5	0	0	1	0	0	0
BRCA_TCGA-A2-A0YM	0	7	7	9	6	1	0	0	0	1	5	1	0	0	29	10	7	0	8	7	9	2	0
BRCA_TCGA-A2-A0YT	1	9	10	2	4	0	0	0	3	0	2	0	0	0	8	11	8	0	3	2	17	1	0
BRCA_TCGA-A2-A1FV	0	4	2	2	6	0	0	0	1	1	2	4	4	0	4	6	4	0	0	2	4	3	1
BRCA_TCGA-A2-A1FW	4	4	5	7	10	5	1	0	6	5	0	0	3	0	4	8	0	3	1	3	9	2	15
BRCA_TCGA-A2-A1FX	2	3	2	2	1	0	0	0	0	0	2	0	3	0	0	3	0	0	1	0	4	3	2
BRCA_TCGA-A2-A1FZ	0	2	0	2	3	0	0	0	5	3	3	0	0	0	1	2	0	0	2	2	0	2	2
BRCA_TCGA-A2-A1G0	0	0	2	0	2	0	0	0	0	0	1	0	7	0	2	1	2	0	0	2	1	1	2
BRCA_TCGA-A2-A1G1	0	0	1	2	4	2	0	2	4	0	1	0	2	0	1	3	1	0	3	4	5	2	2
BRCA_TCGA-A2-A1G6	0	1	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0
BRCA_TCGA-A2-A259	0	1	2	1	2	2	0	0	0	0	0	0	4	0	1	7	2	0	0	0	4	0	3
BRCA_TCGA-A2-A25A	5	2	2	2	5	1	2	0	1	0	0	1	0	0	55	24	5	0	16	0	2	1	5
BRCA_TCGA-A2-A25B	4	5	5	4	1	0	8	2	9	2	0	3	6	2	3	11	6	0	8	1	27	14	7
BRCA_TCGA-A2-A25C	3	0	0	1	0	1	0	0	2	7	1	0	0	13	1	3	0	0	1	0	4	0	2
BRCA_TCGA-A2-A25D	0	1	2	3	3	6	0	0	1	0	2	0	6	1	7	4	6	3	7	0	2	1	9
BRCA_TCGA-A2-A25E	1	0	2	2	2	8	0	2	1	1	3	0	0	4	4	2	5	0	0	0	16	6	2
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	3
BRCA_TCGA-A2-A3KD	0	1	0	2	4	0	0	0	0	1	0	1	3	0	0	2	2	0	0	0	0	2	0
BRCA_TCGA-A2-A3XT	4	0	0	2	6	6	0	0	0	1	9	2	11	0	30	0	0	3	0	0	34	0	14
BRCA_TCGA-A2-A3XU	0	1	1	6	3	0	2	0	4	1	2	1	1	0	1	0	2	0	0	0	5	1	0
BRCA_TCGA-A2-A3XV	0	5	3	1	2	2	0	0	4	5	0	1	6	1	0	1	7	1	2	0	4	0	3
BRCA_TCGA-A2-A3XW	0	0	2	2	0	0	0	2	0	0	3	1	0	0	0	1	1	0	0	0	3	2	0
BRCA_TCGA-A2-A3XX	0	5	4	1	4	1	0	2	2	1	1	0	3	3	2	2	1	0	0	0	14	4	2
BRCA_TCGA-A2-A3XZ	0	1	5	4	3	0	0	0	3	0	2	2	1	0	18	3	0	0	0	0	6	4	0
BRCA_TCGA-A2-A3Y0	4	8	4	7	4	4	3	0	7	14	13	3	21	6	46	0	0	4	0	1	76	7	11
BRCA_TCGA-A2-A4S1	7	5	1	10	2	4	2	0	0	5	1	3	1	1	6	1	3	1	0	3	18	8	16
BRCA_TCGA-A2-A4S2	0	2	0	2	3	1	0	0	3	1	0	0	2	0	4	1	15	0	3	1	0	0	5
BRCA_TCGA-A2-A4S3	4	5	3	4	9	5	0	2	3	3	3	2	4	2	14	5	10	0	11	2	10	4	2
BRCA_TCGA-A7-A0CE	1	3	1	1	2	0	1	0	5	3	2	1	1	5	2	7	1	0	3	2	15	5	0
BRCA_TCGA-A7-A0CH	0	0	1	2	0	0	0	0	0	0	2	0	3	0	0	2	0	0	5	0	1	0	1
BRCA_TCGA-A7-A0D9	0	1	0	0	1	0	0	0	0	0	0	2	1	0	2	2	0	1	0	0	0	2	0
BRCA_TCGA-A7-A0DA	3	3	5	7	2	1	1	3	7	0	7	7	7	7	14	3	1	5	0	0	65	14	25
BRCA_TCGA-A7-A0DB	1	2	2	3	4	1	0	2	1	1	0	0	0	0	14	4	7	3	0	0	2	0	6
BRCA_TCGA-A7-A13D	0	3	3	7	5	3	1	4	6	2	5	2	7	7	13	6	0	0	1	2	55	8	0
BRCA_TCGA-A7-A13E	0	8	3	9	16	5	3	0	3	0	3	0	1	0	3	5	1	0	0	4	13	0	3
BRCA_TCGA-A7-A13F	1	3	5	9	3	1	0	0	4	2	2	0	1	0	3	3	0	0	2	2	3	1	0
BRCA_TCGA-A7-A13G	1	3	0	2	1	0	0	0	3	0	1	2	1	0	8	1	3	1	0	0	1	4	0
BRCA_TCGA-A7-A26E	0	2	8	6	6	2	1	0	2	0	1	0	0	0	11	8	12	1	0	0	0	0	7
BRCA_TCGA-A7-A26F	2	0	4	3	9	2	1	0	2	0	0	1	4	0	4	2	0	0	0	0	4	3	5
BRCA_TCGA-A7-A26G	2	3	2	1	0	0	1	2	4	2	0	2	2	1	14	2	1	0	15	0	6	2	6
BRCA_TCGA-A7-A26H	4	2	6	13	10	3	0	0	0	0	2	4	1	0	68	15	0	0	5	3	5	3	6
BRCA_TCGA-A7-A26I	1	1	2	2	2	2	0	0	0	1	2	0	3	0	5	4	4	0	9	0	4	1	3
BRCA_TCGA-A7-A26J	3	1	0	1	5	0	0	0	1	0	0	2	1	0	1	6	0	0	3	0	9	3	6
BRCA_TCGA-A7-A2KD	1	4	3	8	1	3	0	0	0	0	1	1	4	0	6	4	4	1	0	0	6	8	0
BRCA_TCGA-A7-A3RF	0	2	0	0	6	0	0	0	2	1	1	0	3	2	1	0	11	0	2	2	3	2	2
BRCA_TCGA-A7-A425	0	3	0	2	5	0	0	0	0	1	1	0	0	4	0	3	2	0	0	2	1	9	0
BRCA_TCGA-A7-A4SC	1	3	3	5	0	0	0	1	0	0	2	0	1	0	0	4	0	1	0	1	3	2	11
BRCA_TCGA-A7-A4SD	0	3	4	9	7	0	1	0	6	5	0	0	1	3	2	0	2	4	1	2	5	2	5
BRCA_TCGA-A7-A4SE	3	0	1	1	4	5	1	4	10	6	0	4	3	1	35	5	0	1	10	0	40	8	4
BRCA_TCGA-A7-A56D	9	9	13	9	7	4	1	0	9	0	0	0	3	1	80	30	22	0	2	0	11	11	4
BRCA_TCGA-A7-A5ZV	3	7	7	18	5	6	1	2	3	6	16	1	13	11	31	4	3	13	18	1	84	6	9
BRCA_TCGA-A7-A5ZW	1	2	3	0	5	1	0	0	0	1	5	1	2	0	12	0	1	0	0	2	0	0	0
BRCA_TCGA-A7-A5ZX	1	1	4	2	1	1	0	0	1	2	1	0	0	2	1	6	2	3	1	0	8	3	2
BRCA_TCGA-A7-A6VV	0	1	1	7	6	0	3	0	4	0	5	0	12	0	9	2	0	0	0	0	10	0	4
BRCA_TCGA-A7-A6VW	0	0	3	3	6	1	1	0	2	5	4	1	10	5	7	2	7	2	9	0	14	9	1
BRCA_TCGA-A7-A6VX	1	2	3	2	5	6	0	2	6	1	5	2	7	12	27	18	15	6	18	2	21	5	11
BRCA_TCGA-A7-A6VY	3	2	4	5	2	8	2	3	5	4	5	2	7	2	14	8	0	0	1	1	50	3	5
BRCA_TCGA-A8-A075	3	2	2	3	4	1	0	0	1	0	2	0	7	2	17	16	3	2	10	0	19	5	1
BRCA_TCGA-AC-A23C	6	6	5	3	2	3	0	0	8	6	2	0	0	0	41	16	17	2	7	0	9	7	5
BRCA_TCGA-AC-A23E	1	1	2	5	2	0	0	0	0	0	1	1	3	0	0	0	0	0	1	0	6	0	1
BRCA_TCGA-AC-A23H	114	20	292	25	0	23	12	0	99	0	0	0	0	0	4662	560	235	1	21	251	0	63	0
BRCA_TCGA-AC-A2B8	1	0	6	4	4	4	0	0	3	0	0	0	2	0	65	18	7	0	0	5	5	1	3
BRCA_TCGA-AC-A2BK	0	10	4	10	2	3	1	0	1	6	4	4	6	4	3	0	0	0	7	7	37	0	1
BRCA_TCGA-AC-A2BM	0	1	1	2	1	3	0	0	0	0	0	0	0	0	2	0	0	4	2	2	2	6	0
BRCA_TCGA-AC-A2FB	0	1	0	1	1	0	0	0	0	2	1	0	3	0	2	3	2	0	0	0	0	1	0
BRCA_TCGA-AC-A2FF	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0	2	0	0
BRCA_TCGA-AC-A2FG	0	1	3	1	6	1	0	0	3	1	0	0	0	2	6	3	4	0	0	0	0	6	2
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0
BRCA_TCGA-AC-A2FO	1	0	2	0	2	0	0	0	1	0	0	0	1	0	7	5	1	0	0	2	2	3	0
BRCA_TCGA-AC-A2QH	1	4	0	1	4	1	1	0	3	1	0	0	1	0	3	0	0	0	0	2	3	2	0
BRCA_TCGA-AC-A3HN	0	3	1	1	1	1	0	0	0	2	0	0	0	0	2	1	1	2	2	0	2	3	0
BRCA_TCGA-AC-A3OD	2	4	4	1	2	0	1	0	4	0	0	0	5	1	3	3	9	0	0	0	0	0	0
BRCA_TCGA-AC-A3QP	0	1	3	1	1	0	0	0	2	2	4	0	2	0	1	0	0	0	0	0	3	6	9
BRCA_TCGA-AC-A3QQ	1	3	0	5	2	3	0	0	0	0	0	1	4	0	1	3	0	2	0	0	2	9	0
BRCA_TCGA-AC-A3W5	1	7	7	5	3	9	2	0	4	0	5	2	17	0	53	9	0	5	1	6	64	11	0
BRCA_TCGA-AC-A3YI	0	2	2	1	0	0	0	0	0	2	1	0	2	0	0	1	1	0	0	0	1	0	5
BRCA_TCGA-AC-A3YJ	1	3	1	5	3	0	0	0	0	1	1	1	6	0	2	5	7	0	0	0	0	2	0
BRCA_TCGA-AC-A4ZE	0	4	3	3	5	8	1	0	0	0	6	3	1	0	4	5	3	0	3	4	13	4	4
BRCA_TCGA-AC-A5EH	7	2	5	10	2	5	2	2	8	2	13	6	10	9	20	8	0	5	9	6	47	14	13
BRCA_TCGA-AC-A5EI	0	2	3	2	5	0	0	0	0	2	2	2	4	0	3	5	2	0	0	2	4	5	0
BRCA_TCGA-AC-A5XS	14	0	53	10	0	4	3	2	7	0	0	0	0	0	430	138	11	0	0	14	14	14	1
BRCA_TCGA-AC-A5XU	1	13	4	13	10	0	3	2	5	4	0	0	0	0	10	18	3	0	6	4	2	2	13
BRCA_TCGA-AC-A62V	5	18	4	11	5	2	0	0	7	2	1	1	7	1	6	6	0	0	5	1	21	1	2
BRCA_TCGA-AC-A62X	5	11	3	18	10	0	2	0	2	6	1	0	4	0	2	4	0	2	1	4	11	0	1
BRCA_TCGA-AC-A62Y	0	3	3	4	7	0	1	0	4	0	5	5	3	4	25	5	5	2	0	0	10	3	0
BRCA_TCGA-AC-A6IV	0	0	2	2	2	2	1	0	1	0	1	0	4	0	0	1	2	0	3	0	0	3	3
BRCA_TCGA-AC-A6IW	0	10	6	13	4	3	1	0	5	0	6	4	19	0	81	14	5	4	6	9	34	6	1
BRCA_TCGA-AC-A6IX	0	3	2	3	4	5	0	0	0	0	4	0	4	0	19	11	10	0	0	1	0	5	0
BRCA_TCGA-AC-A6NO	0	2	2	2	7	8	0	0	0	1	3	0	0	0	1	5	2	0	0	2	0	0	8
BRCA_TCGA-AC-A7VB	0	4	1	3	5	5	0	0	0	0	3	0	5	0	0	1	0	0	0	4	1	1	2
BRCA_TCGA-AC-A7VC	0	2	3	2	3	2	0	0	2	2	1	0	2	0	0	1	0	0	1	0	3	0	2
BRCA_TCGA-AC-A8OP	9	12	13	16	12	4	12	6	15	9	8	2	6	13	20	11	1	1	9	3	45	9	8
BRCA_TCGA-AC-A8OQ	1	8	9	4	16	9	3	0	0	1	0	1	8	3	12	10	19	5	0	6	18	2	2
BRCA_TCGA-AC-A8OR	0	3	0	4	0	3	0	0	0	0	0	0	2	7	1	0	3	0	0	0	2	5	2
BRCA_TCGA-AC-A8OS	0	0	2	6	6	1	0	1	4	3	5	0	4	0	13	8	4	3	0	0	7	4	8
BRCA_TCGA-AN-A0XL	3	0	2	6	3	2	3	0	0	2	3	0	3	0	0	5	0	0	0	2	1	0	5
BRCA_TCGA-AN-A0XN	5	6	4	2	5	2	4	0	10	7	5	4	7	3	14	3	15	7	10	0	37	6	19
BRCA_TCGA-AN-A0XO	0	2	5	0	2	1	0	0	0	2	3	0	0	0	5	6	10	0	0	0	5	2	0
BRCA_TCGA-AN-A0XP	1	2	1	2	1	1	0	0	1	4	0	1	0	2	6	0	5	2	1	0	3	1	0
BRCA_TCGA-AN-A0XR	0	0	0	4	3	4	0	0	1	0	0	0	4	1	5	2	0	0	0	0	7	2	5
BRCA_TCGA-AN-A0XS	0	0	3	2	1	6	0	1	0	0	0	0	1	1	5	0	4	0	1	0	0	4	3
BRCA_TCGA-AN-A0XT	0	2	1	2	5	0	0	0	2	1	0	1	5	2	1	0	0	0	0	0	0	0	0
BRCA_TCGA-AN-A0XU	9	0	3	3	8	4	2	2	2	0	6	2	12	2	18	0	2	0	17	0	35	8	2
BRCA_TCGA-AN-A0XV	0	6	3	2	1	0	0	0	3	3	1	3	1	0	5	1	0	0	6	0	5	3	1
BRCA_TCGA-AN-A0XW	5	2	11	4	1	0	1	2	7	0	0	0	0	1	339	29	8	2	0	6	0	5	0
BRCA_TCGA-AO-A03M	18	0	58	3	7	5	2	0	6	0	3	0	0	0	922	116	3	1	0	2	0	0	4
BRCA_TCGA-AO-A03N	4	4	8	5	5	2	5	2	8	0	0	0	0	0	58	22	0	0	0	2	2	0	7
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1
BRCA_TCGA-AO-A03V	1	0	4	4	5	4	0	2	1	0	1	4	3	1	13	11	0	2	3	5	1	1	6
BRCA_TCGA-AO-A0JG	2	0	0	0	0	2	1	0	0	1	1	0	0	0	0	2	0	2	4	0	3	3	0
BRCA_TCGA-AO-A124	5	4	5	5	6	3	0	2	8	0	10	2	9	2	5	8	2	4	8	12	53	9	16
BRCA_TCGA-AO-A125	1	2	4	5	3	0	3	0	3	0	1	2	6	0	3	0	3	0	0	0	5	4	0
BRCA_TCGA-AO-A126	0	0	3	1	4	0	0	0	1	0	2	0	0	0	3	0	4	0	1	0	1	2	3
BRCA_TCGA-AO-A128	3	134	40	123	128	92	104	1	61	102	247	45	16	7	26	12	0	23	34	3	9	0	0
BRCA_TCGA-AO-A129	3	4	2	2	8	0	6	2	6	3	8	4	5	6	29	5	3	5	0	0	27	1	15
BRCA_TCGA-AO-A12A	0	2	0	3	0	0	0	0	0	0	0	0	0	0	3	1	2	0	0	0	0	6	2
BRCA_TCGA-AO-A12B	0	1	0	3	3	0	1	2	0	0	1	2	0	0	1	0	1	0	0	0	3	5	0
BRCA_TCGA-AO-A12D	0	0	8	5	4	0	0	0	2	0	1	0	2	0	19	16	4	0	2	3	2	3	2
BRCA_TCGA-AO-A12E	0	4	2	4	3	0	0	0	1	0	1	1	0	0	1	3	2	0	2	0	5	4	0
BRCA_TCGA-AO-A12F	1	8	2	5	0	1	0	4	2	0	0	1	1	2	0	0	4	0	0	0	4	5	0
BRCA_TCGA-AO-A12G	0	2	1	2	9	1	0	0	3	4	0	1	2	0	6	4	1	0	0	0	2	2	2
BRCA_TCGA-AO-A12H	0	0	2	2	7	4	0	0	1	1	2	0	0	0	0	3	1	0	1	0	4	1	1
BRCA_TCGA-AO-A1KO	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	3	0
BRCA_TCGA-AO-A1KR	1	0	3	6	3	0	0	0	5	0	7	9	5	1	12	0	2	0	2	0	23	1	9
BRCA_TCGA-AO-A1KT	0	2	3	5	3	0	1	0	2	6	3	2	1	0	2	1	1	0	0	0	6	10	3
BRCA_TCGA-AQ-A04H	3	9	5	8	14	3	0	0	2	6	0	1	4	0	6	1	0	2	7	0	4	0	6
BRCA_TCGA-AQ-A0Y5	0	5	6	6	6	1	1	0	0	2	1	0	1	0	18	4	2	0	4	0	9	0	4
BRCA_TCGA-AQ-A1H2	0	3	3	2	5	1	0	0	2	1	2	0	0	0	1	1	0	2	1	2	4	3	1
BRCA_TCGA-AQ-A1H3	0	3	0	8	6	0	0	0	0	1	0	0	3	0	0	0	1	2	0	0	3	0	0
BRCA_TCGA-AQ-A54O	1	1	0	3	0	0	0	0	4	0	1	0	0	0	3	0	4	1	2	0	0	3	2
BRCA_TCGA-AQ-A7U7	0	4	7	0	4	3	0	0	3	0	1	1	1	0	48	7	8	2	1	3	0	3	0
BRCA_TCGA-AR-A0TP	0	0	1	1	3	0	1	0	6	1	6	4	2	5	6	1	6	1	0	0	19	1	7
BRCA_TCGA-AR-A0TQ	1	1	2	5	1	3	0	0	2	0	0	0	0	1	7	10	3	0	5	1	0	3	4
BRCA_TCGA-AR-A0TR	0	1	3	8	0	2	0	0	4	1	5	3	0	0	1	3	0	0	0	0	4	7	0
BRCA_TCGA-AR-A0TS	1	3	0	9	1	0	4	0	2	0	3	1	6	3	10	4	3	2	0	1	22	9	6
BRCA_TCGA-AR-A0TT	0	6	4	5	3	2	0	0	1	5	1	2	8	0	12	5	2	2	0	0	8	9	0
BRCA_TCGA-AR-A0TU	5	5	1	0	7	0	1	0	3	2	1	4	6	6	10	1	3	1	4	0	28	0	2
BRCA_TCGA-AR-A0TV	1	2	2	8	9	5	0	0	6	3	0	0	8	1	4	5	6	0	0	1	12	0	6
BRCA_TCGA-AR-A0TW	4	4	4	5	8	2	1	0	4	0	3	1	0	3	3	1	2	0	6	0	11	1	4
BRCA_TCGA-AR-A0TX	2	1	31	4	2	1	0	0	7	0	0	0	0	0	280	46	25	0	0	0	0	6	2
BRCA_TCGA-AR-A0TZ	4	4	7	2	4	0	0	2	4	0	2	3	0	2	18	2	3	0	0	2	3	4	1
BRCA_TCGA-AR-A0U0	3	1	2	4	1	1	0	2	4	1	0	2	5	0	10	1	0	1	0	1	5	2	4
BRCA_TCGA-AR-A0U1	3	2	1	3	0	1	1	1	0	6	7	4	2	5	11	4	0	1	11	2	30	5	9
BRCA_TCGA-AR-A0U2	0	9	2	4	4	3	1	0	3	0	1	2	3	2	0	2	2	0	1	2	4	6	5
BRCA_TCGA-AR-A0U3	2	7	3	2	2	1	1	0	4	2	0	0	2	0	0	4	0	0	1	0	3	2	4
BRCA_TCGA-AR-A0U4	8	3	4	7	0	0	3	0	8	5	3	2	9	0	49	6	0	3	6	9	63	4	9
BRCA_TCGA-AR-A1AH	7	7	2	0	5	10	4	0	0	10	1	0	5	3	8	0	3	4	8	9	25	0	9
BRCA_TCGA-AR-A1AI	1	5	7	3	6	3	1	0	5	4	1	2	10	0	17	5	0	0	11	1	5	2	0
BRCA_TCGA-AR-A1AJ	0	3	4	2	6	0	0	0	3	0	2	2	0	0	17	6	6	0	0	0	0	2	0
BRCA_TCGA-AR-A1AK	1	3	6	3	5	0	0	0	0	2	1	1	7	0	30	8	0	0	1	6	3	1	4
BRCA_TCGA-AR-A1AL	0	2	1	2	1	0	0	0	0	1	6	1	1	1	5	3	0	0	2	0	0	2	2
BRCA_TCGA-AR-A1AN	0	4	2	1	8	0	0	0	2	2	0	0	1	0	4	1	0	0	0	0	4	1	1
BRCA_TCGA-AR-A1AO	1	4	6	3	4	0	0	3	4	2	3	3	3	8	21	8	0	3	6	0	34	0	6
BRCA_TCGA-AR-A1AP	1	5	4	6	6	4	0	0	0	2	0	0	1	0	8	7	0	1	0	0	0	3	3
BRCA_TCGA-AR-A1AQ	0	2	1	6	0	1	0	0	7	0	5	1	0	0	2	2	0	0	7	0	6	0	1
BRCA_TCGA-AR-A1AR	3	6	0	3	3	0	0	0	0	2	0	0	8	1	9	1	0	4	5	0	4	4	10
BRCA_TCGA-AR-A1AS	1	4	3	0	1	2	0	0	4	0	0	1	0	0	8	5	6	0	0	0	1	3	2
BRCA_TCGA-AR-A1AT	0	1	1	5	0	1	0	2	1	0	2	1	2	1	2	0	1	0	5	0	7	0	0
